plan_id,cable_id,status,type,zone,a_device,a_interface,a_role,b_device,b_interface,b_role
50,24566,connected,,,compute-001,be0-port0,server,be-leaf-01,E1/1/1,leaf
50,24567,connected,,,compute-001,be1-port0,server,be-leaf-01,E1/1/2,leaf
50,24568,connected,,,compute-001,be2-port0,server,be-leaf-01,E1/2/1,leaf
50,24569,connected,,,compute-001,be3-port0,server,be-leaf-01,E1/2/2,leaf
50,24570,connected,,,compute-001,be4-port0,server,be-leaf-02,E1/1/1,leaf
50,24571,connected,,,compute-001,be5-port0,server,be-leaf-02,E1/1/2,leaf
50,24572,connected,,,compute-001,be6-port0,server,be-leaf-02,E1/2/1,leaf
50,24573,connected,,,compute-001,be7-port0,server,be-leaf-02,E1/2/2,leaf
50,24574,connected,,,compute-001,fe-p0,server,fe-leaf-01,E1/1/1,leaf
50,24575,connected,,,compute-001,fe-p1,server,fe-leaf-02,E1/1/1,leaf
50,24576,connected,,,compute-002,be0-port0,server,be-leaf-01,E1/3/1,leaf
50,24577,connected,,,compute-002,be1-port0,server,be-leaf-01,E1/3/2,leaf
50,24578,connected,,,compute-002,be2-port0,server,be-leaf-01,E1/4/1,leaf
50,24579,connected,,,compute-002,be3-port0,server,be-leaf-01,E1/4/2,leaf
50,24580,connected,,,compute-002,be4-port0,server,be-leaf-02,E1/3/1,leaf
50,24581,connected,,,compute-002,be5-port0,server,be-leaf-02,E1/3/2,leaf
50,24582,connected,,,compute-002,be6-port0,server,be-leaf-02,E1/4/1,leaf
50,24583,connected,,,compute-002,be7-port0,server,be-leaf-02,E1/4/2,leaf
50,24584,connected,,,compute-002,fe-p0,server,fe-leaf-01,E1/1/2,leaf
50,24585,connected,,,compute-002,fe-p1,server,fe-leaf-02,E1/1/2,leaf
50,24586,connected,,,compute-003,be0-port0,server,be-leaf-01,E1/5/1,leaf
50,24587,connected,,,compute-003,be1-port0,server,be-leaf-01,E1/5/2,leaf
50,24588,connected,,,compute-003,be2-port0,server,be-leaf-01,E1/6/1,leaf
50,24589,connected,,,compute-003,be3-port0,server,be-leaf-01,E1/6/2,leaf
50,24590,connected,,,compute-003,be4-port0,server,be-leaf-02,E1/5/1,leaf
50,24591,connected,,,compute-003,be5-port0,server,be-leaf-02,E1/5/2,leaf
50,24592,connected,,,compute-003,be6-port0,server,be-leaf-02,E1/6/1,leaf
50,24593,connected,,,compute-003,be7-port0,server,be-leaf-02,E1/6/2,leaf
50,24594,connected,,,compute-003,fe-p0,server,fe-leaf-01,E1/1/3,leaf
50,24595,connected,,,compute-003,fe-p1,server,fe-leaf-02,E1/1/3,leaf
50,24596,connected,,,compute-004,be0-port0,server,be-leaf-01,E1/7/1,leaf
50,24597,connected,,,compute-004,be1-port0,server,be-leaf-01,E1/7/2,leaf
50,24598,connected,,,compute-004,be2-port0,server,be-leaf-01,E1/8/1,leaf
50,24599,connected,,,compute-004,be3-port0,server,be-leaf-01,E1/8/2,leaf
50,24600,connected,,,compute-004,be4-port0,server,be-leaf-02,E1/7/1,leaf
50,24601,connected,,,compute-004,be5-port0,server,be-leaf-02,E1/7/2,leaf
50,24602,connected,,,compute-004,be6-port0,server,be-leaf-02,E1/8/1,leaf
50,24603,connected,,,compute-004,be7-port0,server,be-leaf-02,E1/8/2,leaf
50,24604,connected,,,compute-004,fe-p0,server,fe-leaf-01,E1/1/4,leaf
50,24605,connected,,,compute-004,fe-p1,server,fe-leaf-02,E1/1/4,leaf
50,24606,connected,,,compute-005,be0-port0,server,be-leaf-01,E1/9/1,leaf
50,24607,connected,,,compute-005,be1-port0,server,be-leaf-01,E1/9/2,leaf
50,24608,connected,,,compute-005,be2-port0,server,be-leaf-01,E1/10/1,leaf
50,24609,connected,,,compute-005,be3-port0,server,be-leaf-01,E1/10/2,leaf
50,24610,connected,,,compute-005,be4-port0,server,be-leaf-02,E1/9/1,leaf
50,24611,connected,,,compute-005,be5-port0,server,be-leaf-02,E1/9/2,leaf
50,24612,connected,,,compute-005,be6-port0,server,be-leaf-02,E1/10/1,leaf
50,24613,connected,,,compute-005,be7-port0,server,be-leaf-02,E1/10/2,leaf
50,24614,connected,,,compute-005,fe-p0,server,fe-leaf-01,E1/3/1,leaf
50,24615,connected,,,compute-005,fe-p1,server,fe-leaf-02,E1/3/1,leaf
50,24616,connected,,,compute-006,be0-port0,server,be-leaf-01,E1/11/1,leaf
50,24617,connected,,,compute-006,be1-port0,server,be-leaf-01,E1/11/2,leaf
50,24618,connected,,,compute-006,be2-port0,server,be-leaf-01,E1/12/1,leaf
50,24619,connected,,,compute-006,be3-port0,server,be-leaf-01,E1/12/2,leaf
50,24620,connected,,,compute-006,be4-port0,server,be-leaf-02,E1/11/1,leaf
50,24621,connected,,,compute-006,be5-port0,server,be-leaf-02,E1/11/2,leaf
50,24622,connected,,,compute-006,be6-port0,server,be-leaf-02,E1/12/1,leaf
50,24623,connected,,,compute-006,be7-port0,server,be-leaf-02,E1/12/2,leaf
50,24624,connected,,,compute-006,fe-p0,server,fe-leaf-01,E1/3/2,leaf
50,24625,connected,,,compute-006,fe-p1,server,fe-leaf-02,E1/3/2,leaf
50,24626,connected,,,compute-007,be0-port0,server,be-leaf-01,E1/13/1,leaf
50,24627,connected,,,compute-007,be1-port0,server,be-leaf-01,E1/13/2,leaf
50,24628,connected,,,compute-007,be2-port0,server,be-leaf-01,E1/14/1,leaf
50,24629,connected,,,compute-007,be3-port0,server,be-leaf-01,E1/14/2,leaf
50,24630,connected,,,compute-007,be4-port0,server,be-leaf-02,E1/13/1,leaf
50,24631,connected,,,compute-007,be5-port0,server,be-leaf-02,E1/13/2,leaf
50,24632,connected,,,compute-007,be6-port0,server,be-leaf-02,E1/14/1,leaf
50,24633,connected,,,compute-007,be7-port0,server,be-leaf-02,E1/14/2,leaf
50,24634,connected,,,compute-007,fe-p0,server,fe-leaf-01,E1/3/3,leaf
50,24635,connected,,,compute-007,fe-p1,server,fe-leaf-02,E1/3/3,leaf
50,24636,connected,,,compute-008,be0-port0,server,be-leaf-01,E1/15/1,leaf
50,24637,connected,,,compute-008,be1-port0,server,be-leaf-01,E1/15/2,leaf
50,24638,connected,,,compute-008,be2-port0,server,be-leaf-01,E1/16/1,leaf
50,24639,connected,,,compute-008,be3-port0,server,be-leaf-01,E1/16/2,leaf
50,24640,connected,,,compute-008,be4-port0,server,be-leaf-02,E1/15/1,leaf
50,24641,connected,,,compute-008,be5-port0,server,be-leaf-02,E1/15/2,leaf
50,24642,connected,,,compute-008,be6-port0,server,be-leaf-02,E1/16/1,leaf
50,24643,connected,,,compute-008,be7-port0,server,be-leaf-02,E1/16/2,leaf
50,24644,connected,,,compute-008,fe-p0,server,fe-leaf-01,E1/3/4,leaf
50,24645,connected,,,compute-008,fe-p1,server,fe-leaf-02,E1/3/4,leaf
50,24646,connected,,,compute-009,be0-port0,server,be-leaf-01,E1/17/1,leaf
50,24647,connected,,,compute-009,be1-port0,server,be-leaf-01,E1/17/2,leaf
50,24648,connected,,,compute-009,be2-port0,server,be-leaf-01,E1/18/1,leaf
50,24649,connected,,,compute-009,be3-port0,server,be-leaf-01,E1/18/2,leaf
50,24650,connected,,,compute-009,be4-port0,server,be-leaf-02,E1/17/1,leaf
50,24651,connected,,,compute-009,be5-port0,server,be-leaf-02,E1/17/2,leaf
50,24652,connected,,,compute-009,be6-port0,server,be-leaf-02,E1/18/1,leaf
50,24653,connected,,,compute-009,be7-port0,server,be-leaf-02,E1/18/2,leaf
