node_type,node_id,port,peer_type,peer_id,peer_port,speed,media_type,network_type,lag_id,plane,comments
switch,soc-leaf-01,E1/1,switch,soc-spine-01,E1/1,25G,SFP28-DAC,soc-storage,,,VLAB uplink
switch,soc-leaf-01,E1/2,switch,soc-spine-02,E1/1,25G,SFP28-DAC,soc-storage,,,VLAB uplink
switch,soc-leaf-02,E1/1,switch,soc-spine-01,E1/2,25G,SFP28-DAC,soc-storage,,,VLAB uplink
switch,soc-leaf-02,E1/2,switch,soc-spine-02,E1/2,25G,SFP28-DAC,soc-storage,,,VLAB uplink
server,compute-01,soc0,switch,soc-leaf-01,E1/3,25G,SFP28-DAC,soc-storage,eslag-01,,Lab host representing logical compute-01
server,compute-01,soc1,switch,soc-leaf-02,E1/3,25G,SFP28-DAC,soc-storage,eslag-01,,Lab host representing logical compute-01
server,compute-02,soc0,switch,soc-leaf-01,E1/4,25G,SFP28-DAC,soc-storage,eslag-02,,Lab host representing logical compute-02
server,compute-02,soc1,switch,soc-leaf-02,E1/4,25G,SFP28-DAC,soc-storage,eslag-02,,Lab host representing logical compute-02
server,compute-03,soc0,switch,soc-leaf-01,E1/5,25G,SFP28-DAC,soc-storage,eslag-03,,Lab host representing logical compute-03
server,compute-03,soc1,switch,soc-leaf-02,E1/5,25G,SFP28-DAC,soc-storage,eslag-03,,Lab host representing logical compute-03
server,compute-04,soc0,switch,soc-leaf-01,E1/6,25G,SFP28-DAC,soc-storage,eslag-04,,Lab host representing logical compute-04
server,compute-04,soc1,switch,soc-leaf-02,E1/6,25G,SFP28-DAC,soc-storage,eslag-04,,Lab host representing logical compute-04
