node_type,node_id,port,peer_type,peer_id,peer_port,speed,media_type,network_type,lag_id,plane,comments
switch,soc-leaf-01,E1/1,switch,soc-spine-01,E1/1,25G,SFP28-DAC,soc-storage,,,VLAB subset uplink
switch,soc-leaf-01,E1/2,switch,soc-spine-02,E1/1,25G,SFP28-DAC,soc-storage,,,VLAB subset uplink
switch,soc-leaf-02,E1/1,switch,soc-spine-01,E1/2,25G,SFP28-DAC,soc-storage,,,VLAB subset uplink
switch,soc-leaf-02,E1/2,switch,soc-spine-02,E1/2,25G,SFP28-DAC,soc-storage,,,VLAB subset uplink
server,compute-01,soc0,switch,soc-leaf-01,E1/3,25G,SFP28-DAC,soc-storage,eslag-01,,Logical xPU-node SO-C link
server,compute-01,soc1,switch,soc-leaf-02,E1/3,25G,SFP28-DAC,soc-storage,eslag-01,,Logical xPU-node SO-C link
server,compute-02,soc0,switch,soc-leaf-01,E1/4,25G,SFP28-DAC,soc-storage,eslag-02,,Logical xPU-node SO-C link
server,compute-02,soc1,switch,soc-leaf-02,E1/4,25G,SFP28-DAC,soc-storage,eslag-02,,Logical xPU-node SO-C link
server,compute-03,soc0,switch,soc-leaf-01,E1/5,25G,SFP28-DAC,soc-storage,eslag-03,,Logical xPU-node SO-C link
server,compute-03,soc1,switch,soc-leaf-02,E1/5,25G,SFP28-DAC,soc-storage,eslag-03,,Logical xPU-node SO-C link
server,compute-04,soc0,switch,soc-leaf-01,E1/6,25G,SFP28-DAC,soc-storage,eslag-04,,Logical xPU-node SO-C link
server,compute-04,soc1,switch,soc-leaf-02,E1/6,25G,SFP28-DAC,soc-storage,eslag-04,,Logical xPU-node SO-C link
server,compute-05,soc0,switch,soc-leaf-01,E1/7,25G,SFP28-DAC,soc-storage,eslag-05,,Logical xPU-node SO-C link
server,compute-05,soc1,switch,soc-leaf-02,E1/7,25G,SFP28-DAC,soc-storage,eslag-05,,Logical xPU-node SO-C link
server,compute-06,soc0,switch,soc-leaf-01,E1/8,25G,SFP28-DAC,soc-storage,eslag-06,,Logical xPU-node SO-C link
server,compute-06,soc1,switch,soc-leaf-02,E1/8,25G,SFP28-DAC,soc-storage,eslag-06,,Logical xPU-node SO-C link
server,compute-07,soc0,switch,soc-leaf-01,E1/9,25G,SFP28-DAC,soc-storage,eslag-07,,Logical xPU-node SO-C link
server,compute-07,soc1,switch,soc-leaf-02,E1/9,25G,SFP28-DAC,soc-storage,eslag-07,,Logical xPU-node SO-C link
server,compute-08,soc0,switch,soc-leaf-01,E1/10,25G,SFP28-DAC,soc-storage,eslag-08,,Logical xPU-node SO-C link
server,compute-08,soc1,switch,soc-leaf-02,E1/10,25G,SFP28-DAC,soc-storage,eslag-08,,Logical xPU-node SO-C link
server,compute-09,soc0,switch,soc-leaf-01,E1/11,25G,SFP28-DAC,soc-storage,eslag-09,,Logical xPU-node SO-C link
