plan_id,cable_id,status,type,zone,a_device,a_interface,a_role,b_device,b_interface,b_role
60,28998,connected,,,compute-001,be0-port0,server,be-rail-leaf-01,E1/1/1,leaf
60,28999,connected,,,compute-001,be1-port0,server,be-rail-leaf-02,E1/1/1,leaf
60,29000,connected,,,compute-001,be2-port0,server,be-rail-leaf-03,E1/1/1,leaf
60,29001,connected,,,compute-001,be3-port0,server,be-rail-leaf-04,E1/1/1,leaf
60,29002,connected,,,compute-001,be4-port0,server,be-rail-leaf-05,E1/1/1,leaf
60,29003,connected,,,compute-001,be5-port0,server,be-rail-leaf-06,E1/1/1,leaf
60,29004,connected,,,compute-001,be6-port0,server,be-rail-leaf-07,E1/1/1,leaf
60,29005,connected,,,compute-001,be7-port0,server,be-rail-leaf-08,E1/1/1,leaf
60,29006,connected,,,compute-001,fe-p0,server,fe-leaf-01,E1/1/1,leaf
60,29007,connected,,,compute-001,fe-p1,server,fe-leaf-02,E1/1/1,leaf
60,29008,connected,,,compute-002,be0-port0,server,be-rail-leaf-01,E1/1/2,leaf
60,29009,connected,,,compute-002,be1-port0,server,be-rail-leaf-02,E1/1/2,leaf
60,29010,connected,,,compute-002,be2-port0,server,be-rail-leaf-03,E1/1/2,leaf
60,29011,connected,,,compute-002,be3-port0,server,be-rail-leaf-04,E1/1/2,leaf
60,29012,connected,,,compute-002,be4-port0,server,be-rail-leaf-05,E1/1/2,leaf
60,29013,connected,,,compute-002,be5-port0,server,be-rail-leaf-06,E1/1/2,leaf
60,29014,connected,,,compute-002,be6-port0,server,be-rail-leaf-07,E1/1/2,leaf
60,29015,connected,,,compute-002,be7-port0,server,be-rail-leaf-08,E1/1/2,leaf
60,29016,connected,,,compute-002,fe-p0,server,fe-leaf-01,E1/1/2,leaf
60,29017,connected,,,compute-002,fe-p1,server,fe-leaf-02,E1/1/2,leaf
60,29018,connected,,,compute-003,be0-port0,server,be-rail-leaf-01,E1/2/1,leaf
60,29019,connected,,,compute-003,be1-port0,server,be-rail-leaf-02,E1/2/1,leaf
60,29020,connected,,,compute-003,be2-port0,server,be-rail-leaf-03,E1/2/1,leaf
60,29021,connected,,,compute-003,be3-port0,server,be-rail-leaf-04,E1/2/1,leaf
60,29022,connected,,,compute-003,be4-port0,server,be-rail-leaf-05,E1/2/1,leaf
60,29023,connected,,,compute-003,be5-port0,server,be-rail-leaf-06,E1/2/1,leaf
