plan_id,cable_id,status,type,zone,a_device,a_interface,a_role,b_device,b_interface,b_role
65,34886,connected,,,compute-001,be0-port0,server,be-leaf-01,E1/1/1,leaf
65,34887,connected,,,compute-001,be1-port0,server,be-leaf-01,E1/1/2,leaf
65,34888,connected,,,compute-001,be2-port0,server,be-leaf-02,E1/1/1,leaf
65,34889,connected,,,compute-001,be3-port0,server,be-leaf-02,E1/1/2,leaf
65,34890,connected,,,compute-001,be4-port0,server,be-leaf-03,E1/1/1,leaf
65,34891,connected,,,compute-001,be5-port0,server,be-leaf-03,E1/1/2,leaf
65,34892,connected,,,compute-001,be6-port0,server,be-leaf-04,E1/1/1,leaf
65,34893,connected,,,compute-001,be7-port0,server,be-leaf-04,E1/1/2,leaf
65,34894,connected,,,compute-001,fe-p0,server,fe-leaf-01,E1/1/1,leaf
65,34895,connected,,,compute-001,fe-p1,server,fe-leaf-02,E1/1/1,leaf
65,34896,connected,,,compute-002,be0-port0,server,be-leaf-01,E1/2/1,leaf
65,34897,connected,,,compute-002,be1-port0,server,be-leaf-01,E1/2/2,leaf
65,34898,connected,,,compute-002,be2-port0,server,be-leaf-02,E1/2/1,leaf
65,34899,connected,,,compute-002,be3-port0,server,be-leaf-02,E1/2/2,leaf
65,34900,connected,,,compute-002,be4-port0,server,be-leaf-03,E1/2/1,leaf
65,34901,connected,,,compute-002,be5-port0,server,be-leaf-03,E1/2/2,leaf
65,34902,connected,,,compute-002,be6-port0,server,be-leaf-04,E1/2/1,leaf
65,34903,connected,,,compute-002,be7-port0,server,be-leaf-04,E1/2/2,leaf
65,34904,connected,,,compute-002,fe-p0,server,fe-leaf-01,E1/1/2,leaf
65,34905,connected,,,compute-002,fe-p1,server,fe-leaf-02,E1/1/2,leaf
65,34906,connected,,,compute-003,be0-port0,server,be-leaf-01,E1/3/1,leaf
65,34907,connected,,,compute-003,be1-port0,server,be-leaf-01,E1/3/2,leaf
65,34908,connected,,,compute-003,be2-port0,server,be-leaf-02,E1/3/1,leaf
65,34909,connected,,,compute-003,be3-port0,server,be-leaf-02,E1/3/2,leaf
65,34910,connected,,,compute-003,be4-port0,server,be-leaf-03,E1/3/1,leaf
65,34911,connected,,,compute-003,be5-port0,server,be-leaf-03,E1/3/2,leaf
65,34912,connected,,,compute-003,be6-port0,server,be-leaf-04,E1/3/1,leaf
65,34913,connected,,,compute-003,be7-port0,server,be-leaf-04,E1/3/2,leaf
65,34914,connected,,,compute-003,fe-p0,server,fe-leaf-01,E1/1/3,leaf
65,34915,connected,,,compute-003,fe-p1,server,fe-leaf-02,E1/1/3,leaf
65,34916,connected,,,compute-004,be0-port0,server,be-leaf-01,E1/4/1,leaf
65,34917,connected,,,compute-004,be1-port0,server,be-leaf-01,E1/4/2,leaf
65,34918,connected,,,compute-004,be2-port0,server,be-leaf-02,E1/4/1,leaf
65,34919,connected,,,compute-004,be3-port0,server,be-leaf-02,E1/4/2,leaf
65,34920,connected,,,compute-004,be4-port0,server,be-leaf-03,E1/4/1,leaf
65,34921,connected,,,compute-004,be5-port0,server,be-leaf-03,E1/4/2,leaf
65,34922,connected,,,compute-004,be6-port0,server,be-leaf-04,E1/4/1,leaf
65,34923,connected,,,compute-004,be7-port0,server,be-leaf-04,E1/4/2,leaf
65,34924,connected,,,compute-004,fe-p0,server,fe-leaf-01,E1/1/4,leaf
65,34925,connected,,,compute-004,fe-p1,server,fe-leaf-02,E1/1/4,leaf
65,34926,connected,,,compute-005,be0-port0,server,be-leaf-01,E1/5/1,leaf
65,34927,connected,,,compute-005,be1-port0,server,be-leaf-01,E1/5/2,leaf
65,34928,connected,,,compute-005,be2-port0,server,be-leaf-02,E1/5/1,leaf
65,34929,connected,,,compute-005,be3-port0,server,be-leaf-02,E1/5/2,leaf
65,34930,connected,,,compute-005,be4-port0,server,be-leaf-03,E1/5/1,leaf
65,34931,connected,,,compute-005,be5-port0,server,be-leaf-03,E1/5/2,leaf
65,34932,connected,,,compute-005,be6-port0,server,be-leaf-04,E1/5/1,leaf
65,34933,connected,,,compute-005,be7-port0,server,be-leaf-04,E1/5/2,leaf
65,34934,connected,,,compute-005,fe-p0,server,fe-leaf-01,E1/3/1,leaf
65,34935,connected,,,compute-005,fe-p1,server,fe-leaf-02,E1/3/1,leaf
65,34936,connected,,,compute-006,be0-port0,server,be-leaf-01,E1/6/1,leaf
65,34937,connected,,,compute-006,be1-port0,server,be-leaf-01,E1/6/2,leaf
65,34938,connected,,,compute-006,be2-port0,server,be-leaf-02,E1/6/1,leaf
65,34939,connected,,,compute-006,be3-port0,server,be-leaf-02,E1/6/2,leaf
65,34940,connected,,,compute-006,be4-port0,server,be-leaf-03,E1/6/1,leaf
65,34941,connected,,,compute-006,be5-port0,server,be-leaf-03,E1/6/2,leaf
65,34942,connected,,,compute-006,be6-port0,server,be-leaf-04,E1/6/1,leaf
65,34943,connected,,,compute-006,be7-port0,server,be-leaf-04,E1/6/2,leaf
