plan_id,cable_id,status,type,zone,a_device,a_interface,a_role,b_device,b_interface,b_role
72,41798,connected,,,compute-001,be0-port0,server,be-rail-leaf-01,E1/1/1,leaf
72,41799,connected,,,compute-001,be1-port0,server,be-rail-leaf-02,E1/1/1,leaf
72,41800,connected,,,compute-001,be2-port0,server,be-rail-leaf-03,E1/1/1,leaf
72,41801,connected,,,compute-001,be3-port0,server,be-rail-leaf-04,E1/1/1,leaf
72,41802,connected,,,compute-001,be4-port0,server,be-rail-leaf-05,E1/1/1,leaf
72,41803,connected,,,compute-001,be5-port0,server,be-rail-leaf-06,E1/1/1,leaf
72,41804,connected,,,compute-001,be6-port0,server,be-rail-leaf-07,E1/1/1,leaf
72,41805,connected,,,compute-001,be7-port0,server,be-rail-leaf-08,E1/1/1,leaf
72,41806,connected,,,compute-001,fe-p0,server,fe-leaf-01,E1/1/1,leaf
72,41807,connected,,,compute-001,fe-p1,server,fe-leaf-02,E1/1/1,leaf
72,41808,connected,,,compute-002,be0-port0,server,be-rail-leaf-01,E1/1/2,leaf
72,41809,connected,,,compute-002,be1-port0,server,be-rail-leaf-02,E1/1/2,leaf
72,41810,connected,,,compute-002,be2-port0,server,be-rail-leaf-03,E1/1/2,leaf
72,41811,connected,,,compute-002,be3-port0,server,be-rail-leaf-04,E1/1/2,leaf
72,41812,connected,,,compute-002,be4-port0,server,be-rail-leaf-05,E1/1/2,leaf
72,41813,connected,,,compute-002,be5-port0,server,be-rail-leaf-06,E1/1/2,leaf
72,41814,connected,,,compute-002,be6-port0,server,be-rail-leaf-07,E1/1/2,leaf
72,41815,connected,,,compute-002,be7-port0,server,be-rail-leaf-08,E1/1/2,leaf
72,41816,connected,,,compute-002,fe-p0,server,fe-leaf-01,E1/1/2,leaf
72,41817,connected,,,compute-002,fe-p1,server,fe-leaf-02,E1/1/2,leaf
72,41818,connected,,,compute-003,be0-port0,server,be-rail-leaf-01,E1/2/1,leaf
72,41819,connected,,,compute-003,be1-port0,server,be-rail-leaf-02,E1/2/1,leaf
72,41820,connected,,,compute-003,be2-port0,server,be-rail-leaf-03,E1/2/1,leaf
72,41821,connected,,,compute-003,be3-port0,server,be-rail-leaf-04,E1/2/1,leaf
