plan_id,cable_id,status,type,zone,a_device,a_interface,a_role,b_device,b_interface,b_role
157,97028,connected,,,compute_xpu-001,inb_mgmt-mgmt0,server,inb_mgmt_leaf-01,E1/1,leaf
157,97029,connected,,,compute_xpu-001,bmc-bmc0,server,oob_leaf-01,E1/1,leaf
157,97030,connected,,,compute_xpu-001,scale_out-so0,server,scale_out_leaf-01,E1/1/1,leaf
157,97031,connected,,,compute_xpu-001,scale_out-so1,server,scale_out_leaf-01,E1/1/2,leaf
157,97032,connected,,,compute_xpu-001,scale_out-so2,server,scale_out_leaf-01,E1/2/1,leaf
157,97033,connected,,,compute_xpu-001,scale_out-so3,server,scale_out_leaf-01,E1/2/2,leaf
157,97034,connected,,,compute_xpu-001,scale_out-so4,server,scale_out_leaf-01,E1/3/1,leaf
157,97035,connected,,,compute_xpu-001,scale_out-so5,server,scale_out_leaf-01,E1/3/2,leaf
157,97036,connected,,,compute_xpu-001,scale_out-so6,server,scale_out_leaf-01,E1/4/1,leaf
157,97037,connected,,,compute_xpu-001,scale_out-so7,server,scale_out_leaf-01,E1/4/2,leaf
157,97038,connected,,,compute_xpu-001,soc_storage-ss0,server,soc_storage_leaf-01,E1/27/1,leaf
157,97039,connected,,,compute_xpu-001,soc_storage-ss1,server,soc_storage_leaf-02,E1/27/1,leaf
157,97040,connected,,,compute_xpu-002,inb_mgmt-mgmt0,server,inb_mgmt_leaf-01,E1/2,leaf
157,97041,connected,,,compute_xpu-002,bmc-bmc0,server,oob_leaf-02,E1/1,leaf
157,97042,connected,,,compute_xpu-002,scale_out-so0,server,scale_out_leaf-02,E1/1/1,leaf
157,97043,connected,,,compute_xpu-002,scale_out-so1,server,scale_out_leaf-02,E1/1/2,leaf
157,97044,connected,,,compute_xpu-002,scale_out-so2,server,scale_out_leaf-02,E1/2/1,leaf
157,97045,connected,,,compute_xpu-002,scale_out-so3,server,scale_out_leaf-02,E1/2/2,leaf
157,97046,connected,,,compute_xpu-002,scale_out-so4,server,scale_out_leaf-02,E1/3/1,leaf
157,97047,connected,,,compute_xpu-002,scale_out-so5,server,scale_out_leaf-02,E1/3/2,leaf
157,97048,connected,,,compute_xpu-002,scale_out-so6,server,scale_out_leaf-02,E1/4/1,leaf
157,97049,connected,,,compute_xpu-002,scale_out-so7,server,scale_out_leaf-02,E1/4/2,leaf
157,97050,connected,,,compute_xpu-002,soc_storage-ss0,server,soc_storage_leaf-01,E1/27/2,leaf
157,97051,connected,,,compute_xpu-002,soc_storage-ss1,server,soc_storage_leaf-02,E1/27/2,leaf
157,97052,connected,,,compute_xpu-003,inb_mgmt-mgmt0,server,inb_mgmt_leaf-01,E1/3,leaf
157,97053,connected,,,compute_xpu-003,bmc-bmc0,server,oob_leaf-01,E1/2,leaf
157,97054,connected,,,compute_xpu-003,scale_out-so0,server,scale_out_leaf-01,E1/5/1,leaf
157,97055,connected,,,compute_xpu-003,scale_out-so1,server,scale_out_leaf-01,E1/5/2,leaf
157,97056,connected,,,compute_xpu-003,scale_out-so2,server,scale_out_leaf-01,E1/6/1,leaf
157,97057,connected,,,compute_xpu-003,scale_out-so3,server,scale_out_leaf-01,E1/6/2,leaf
157,97058,connected,,,compute_xpu-003,scale_out-so4,server,scale_out_leaf-01,E1/7/1,leaf
157,97059,connected,,,compute_xpu-003,scale_out-so5,server,scale_out_leaf-01,E1/7/2,leaf
