plan_id,cable_id,status,type,zone,a_device,a_interface,a_role,b_device,b_interface,b_role
31,14562,connected,,,compute-001,be0-port0,server,be-leaf-01,E1/1/1,leaf
31,14563,connected,,,compute-001,be1-port0,server,be-leaf-01,E1/1/2,leaf
31,14564,connected,,,compute-001,be2-port0,server,be-leaf-01,E1/2/1,leaf
31,14565,connected,,,compute-001,be3-port0,server,be-leaf-01,E1/2/2,leaf
31,14566,connected,,,compute-001,be4-port0,server,be-leaf-02,E1/1/1,leaf
31,14567,connected,,,compute-001,be5-port0,server,be-leaf-02,E1/1/2,leaf
31,14568,connected,,,compute-001,be6-port0,server,be-leaf-02,E1/2/1,leaf
31,14569,connected,,,compute-001,be7-port0,server,be-leaf-02,E1/2/2,leaf
31,14570,connected,,,compute-001,fe-p0,server,fe-leaf-01,E1/1/1,leaf
31,14571,connected,,,compute-001,fe-p1,server,fe-leaf-02,E1/1/1,leaf
31,14572,connected,,,compute-002,be0-port0,server,be-leaf-01,E1/3/1,leaf
31,14573,connected,,,compute-002,be1-port0,server,be-leaf-01,E1/3/2,leaf
31,14574,connected,,,compute-002,be2-port0,server,be-leaf-01,E1/4/1,leaf
31,14575,connected,,,compute-002,be3-port0,server,be-leaf-01,E1/4/2,leaf
31,14576,connected,,,compute-002,be4-port0,server,be-leaf-02,E1/3/1,leaf
31,14577,connected,,,compute-002,be5-port0,server,be-leaf-02,E1/3/2,leaf
31,14578,connected,,,compute-002,be6-port0,server,be-leaf-02,E1/4/1,leaf
31,14579,connected,,,compute-002,be7-port0,server,be-leaf-02,E1/4/2,leaf
31,14580,connected,,,compute-002,fe-p0,server,fe-leaf-01,E1/1/2,leaf
31,14581,connected,,,compute-002,fe-p1,server,fe-leaf-02,E1/1/2,leaf
31,14582,connected,,,compute-003,be0-port0,server,be-leaf-01,E1/5/1,leaf
31,14583,connected,,,compute-003,be1-port0,server,be-leaf-01,E1/5/2,leaf
31,14584,connected,,,compute-003,be2-port0,server,be-leaf-01,E1/6/1,leaf
31,14585,connected,,,compute-003,be3-port0,server,be-leaf-01,E1/6/2,leaf
31,14586,connected,,,compute-003,be4-port0,server,be-leaf-02,E1/5/1,leaf
31,14587,connected,,,compute-003,be5-port0,server,be-leaf-02,E1/5/2,leaf
31,14588,connected,,,compute-003,be6-port0,server,be-leaf-02,E1/6/1,leaf
31,14589,connected,,,compute-003,be7-port0,server,be-leaf-02,E1/6/2,leaf
31,14590,connected,,,compute-003,fe-p0,server,fe-leaf-01,E1/1/3,leaf
31,14591,connected,,,compute-003,fe-p1,server,fe-leaf-02,E1/1/3,leaf
31,14592,connected,,,compute-004,be0-port0,server,be-leaf-01,E1/7/1,leaf
31,14593,connected,,,compute-004,be1-port0,server,be-leaf-01,E1/7/2,leaf
31,14594,connected,,,compute-004,be2-port0,server,be-leaf-01,E1/8/1,leaf
31,14595,connected,,,compute-004,be3-port0,server,be-leaf-01,E1/8/2,leaf
31,14596,connected,,,compute-004,be4-port0,server,be-leaf-02,E1/7/1,leaf
31,14597,connected,,,compute-004,be5-port0,server,be-leaf-02,E1/7/2,leaf
31,14598,connected,,,compute-004,be6-port0,server,be-leaf-02,E1/8/1,leaf
31,14599,connected,,,compute-004,be7-port0,server,be-leaf-02,E1/8/2,leaf
31,14600,connected,,,compute-004,fe-p0,server,fe-leaf-01,E1/1/4,leaf
31,14601,connected,,,compute-004,fe-p1,server,fe-leaf-02,E1/1/4,leaf
31,14602,connected,,,compute-005,be0-port0,server,be-leaf-01,E1/9/1,leaf
31,14603,connected,,,compute-005,be1-port0,server,be-leaf-01,E1/9/2,leaf
31,14604,connected,,,compute-005,be2-port0,server,be-leaf-01,E1/10/1,leaf
31,14605,connected,,,compute-005,be3-port0,server,be-leaf-01,E1/10/2,leaf
31,14606,connected,,,compute-005,be4-port0,server,be-leaf-02,E1/9/1,leaf
31,14607,connected,,,compute-005,be5-port0,server,be-leaf-02,E1/9/2,leaf
31,14608,connected,,,compute-005,be6-port0,server,be-leaf-02,E1/10/1,leaf
31,14609,connected,,,compute-005,be7-port0,server,be-leaf-02,E1/10/2,leaf
31,14610,connected,,,compute-005,fe-p0,server,fe-leaf-01,E1/3/1,leaf
31,14611,connected,,,compute-005,fe-p1,server,fe-leaf-02,E1/3/1,leaf
31,14612,connected,,,compute-006,be0-port0,server,be-leaf-01,E1/11/1,leaf
31,14613,connected,,,compute-006,be1-port0,server,be-leaf-01,E1/11/2,leaf
31,14614,connected,,,compute-006,be2-port0,server,be-leaf-01,E1/12/1,leaf
31,14615,connected,,,compute-006,be3-port0,server,be-leaf-01,E1/12/2,leaf
31,14616,connected,,,compute-006,be4-port0,server,be-leaf-02,E1/11/1,leaf
31,14617,connected,,,compute-006,be5-port0,server,be-leaf-02,E1/11/2,leaf
31,14618,connected,,,compute-006,be6-port0,server,be-leaf-02,E1/12/1,leaf
31,14619,connected,,,compute-006,be7-port0,server,be-leaf-02,E1/12/2,leaf
31,14620,connected,,,compute-006,fe-p0,server,fe-leaf-01,E1/3/2,leaf
31,14621,connected,,,compute-006,fe-p1,server,fe-leaf-02,E1/3/2,leaf
31,14622,connected,,,compute-007,be0-port0,server,be-leaf-01,E1/13/1,leaf
