plan_id,cable_id,status,type,zone,a_device,a_interface,a_role,b_device,b_interface,b_role
32,14850,connected,,,compute-001,be0-port0,server,be-rail-leaf-01,E1/1/1,leaf
32,14851,connected,,,compute-001,be1-port0,server,be-rail-leaf-01,E1/1/2,leaf
32,14852,connected,,,compute-001,be2-port0,server,be-rail-leaf-02,E1/1/1,leaf
32,14853,connected,,,compute-001,be3-port0,server,be-rail-leaf-02,E1/1/2,leaf
32,14854,connected,,,compute-001,be4-port0,server,be-rail-leaf-03,E1/1/1,leaf
32,14855,connected,,,compute-001,be5-port0,server,be-rail-leaf-03,E1/1/2,leaf
32,14856,connected,,,compute-001,be6-port0,server,be-rail-leaf-04,E1/1/1,leaf
32,14857,connected,,,compute-001,be7-port0,server,be-rail-leaf-04,E1/1/2,leaf
32,14858,connected,,,compute-001,fe-p0,server,fe-leaf-01,E1/1/1,leaf
32,14859,connected,,,compute-001,fe-p1,server,fe-leaf-02,E1/1/1,leaf
32,14860,connected,,,compute-002,be0-port0,server,be-rail-leaf-01,E1/2/1,leaf
32,14861,connected,,,compute-002,be1-port0,server,be-rail-leaf-01,E1/2/2,leaf
32,14862,connected,,,compute-002,be2-port0,server,be-rail-leaf-02,E1/2/1,leaf
32,14863,connected,,,compute-002,be3-port0,server,be-rail-leaf-02,E1/2/2,leaf
32,14864,connected,,,compute-002,be4-port0,server,be-rail-leaf-03,E1/2/1,leaf
32,14865,connected,,,compute-002,be5-port0,server,be-rail-leaf-03,E1/2/2,leaf
32,14866,connected,,,compute-002,be6-port0,server,be-rail-leaf-04,E1/2/1,leaf
32,14867,connected,,,compute-002,be7-port0,server,be-rail-leaf-04,E1/2/2,leaf
32,14868,connected,,,compute-002,fe-p0,server,fe-leaf-01,E1/1/2,leaf
32,14869,connected,,,compute-002,fe-p1,server,fe-leaf-02,E1/1/2,leaf
32,14870,connected,,,compute-003,be0-port0,server,be-rail-leaf-01,E1/3/1,leaf
32,14871,connected,,,compute-003,be1-port0,server,be-rail-leaf-01,E1/3/2,leaf
32,14872,connected,,,compute-003,be2-port0,server,be-rail-leaf-02,E1/3/1,leaf
32,14873,connected,,,compute-003,be3-port0,server,be-rail-leaf-02,E1/3/2,leaf
32,14874,connected,,,compute-003,be4-port0,server,be-rail-leaf-03,E1/3/1,leaf
32,14875,connected,,,compute-003,be5-port0,server,be-rail-leaf-03,E1/3/2,leaf
32,14876,connected,,,compute-003,be6-port0,server,be-rail-leaf-04,E1/3/1,leaf
32,14877,connected,,,compute-003,be7-port0,server,be-rail-leaf-04,E1/3/2,leaf
32,14878,connected,,,compute-003,fe-p0,server,fe-leaf-01,E1/1/3,leaf
32,14879,connected,,,compute-003,fe-p1,server,fe-leaf-02,E1/1/3,leaf
32,14880,connected,,,compute-004,be0-port0,server,be-rail-leaf-01,E1/4/1,leaf
32,14881,connected,,,compute-004,be1-port0,server,be-rail-leaf-01,E1/4/2,leaf
32,14882,connected,,,compute-004,be2-port0,server,be-rail-leaf-02,E1/4/1,leaf
32,14883,connected,,,compute-004,be3-port0,server,be-rail-leaf-02,E1/4/2,leaf
32,14884,connected,,,compute-004,be4-port0,server,be-rail-leaf-03,E1/4/1,leaf
32,14885,connected,,,compute-004,be5-port0,server,be-rail-leaf-03,E1/4/2,leaf
32,14886,connected,,,compute-004,be6-port0,server,be-rail-leaf-04,E1/4/1,leaf
32,14887,connected,,,compute-004,be7-port0,server,be-rail-leaf-04,E1/4/2,leaf
32,14888,connected,,,compute-004,fe-p0,server,fe-leaf-01,E1/1/4,leaf
32,14889,connected,,,compute-004,fe-p1,server,fe-leaf-02,E1/1/4,leaf
32,14890,connected,,,compute-005,be0-port0,server,be-rail-leaf-01,E1/5/1,leaf
32,14891,connected,,,compute-005,be1-port0,server,be-rail-leaf-01,E1/5/2,leaf
32,14892,connected,,,compute-005,be2-port0,server,be-rail-leaf-02,E1/5/1,leaf
32,14893,connected,,,compute-005,be3-port0,server,be-rail-leaf-02,E1/5/2,leaf
32,14894,connected,,,compute-005,be4-port0,server,be-rail-leaf-03,E1/5/1,leaf
32,14895,connected,,,compute-005,be5-port0,server,be-rail-leaf-03,E1/5/2,leaf
32,14896,connected,,,compute-005,be6-port0,server,be-rail-leaf-04,E1/5/1,leaf
32,14897,connected,,,compute-005,be7-port0,server,be-rail-leaf-04,E1/5/2,leaf
32,14898,connected,,,compute-005,fe-p0,server,fe-leaf-01,E1/3/1,leaf
32,14899,connected,,,compute-005,fe-p1,server,fe-leaf-02,E1/3/1,leaf
32,14900,connected,,,compute-006,be0-port0,server,be-rail-leaf-01,E1/6/1,leaf
32,14901,connected,,,compute-006,be1-port0,server,be-rail-leaf-01,E1/6/2,leaf
32,14902,connected,,,compute-006,be2-port0,server,be-rail-leaf-02,E1/6/1,leaf
32,14903,connected,,,compute-006,be3-port0,server,be-rail-leaf-02,E1/6/2,leaf
32,14904,connected,,,compute-006,be4-port0,server,be-rail-leaf-03,E1/6/1,leaf
32,14905,connected,,,compute-006,be5-port0,server,be-rail-leaf-03,E1/6/2,leaf
32,14906,connected,,,compute-006,be6-port0,server,be-rail-leaf-04,E1/6/1,leaf
32,14907,connected,,,compute-006,be7-port0,server,be-rail-leaf-04,E1/6/2,leaf
32,14908,connected,,,compute-006,fe-p0,server,fe-leaf-01,E1/3/2,leaf
32,14909,connected,,,compute-006,fe-p1,server,fe-leaf-02,E1/3/2,leaf
32,14910,connected,,,compute-007,be0-port0,server,be-rail-leaf-01,E1/7/1,leaf
32,14911,connected,,,compute-007,be1-port0,server,be-rail-leaf-01,E1/7/2,leaf
32,14912,connected,,,compute-007,be2-port0,server,be-rail-leaf-02,E1/7/1,leaf
