plan_id,cable_id,status,type,zone,a_device,a_interface,a_role,b_device,b_interface,b_role
35,17218,connected,,,compute-001,be-gpu0-port0,server,be-plane-a-leaf-01,E1/1/1,leaf
35,17219,connected,,,compute-001,be-gpu0-port1,server,be-plane-b-leaf-01,E1/1/1,leaf
35,17220,connected,,,compute-001,be-gpu1-port0,server,be-plane-a-leaf-02,E1/1/1,leaf
35,17221,connected,,,compute-001,be-gpu1-port1,server,be-plane-b-leaf-02,E1/1/1,leaf
35,17222,connected,,,compute-001,be-gpu2-port0,server,be-plane-a-leaf-03,E1/1/1,leaf
35,17223,connected,,,compute-001,be-gpu2-port1,server,be-plane-b-leaf-03,E1/1/1,leaf
35,17224,connected,,,compute-001,be-gpu3-port0,server,be-plane-a-leaf-04,E1/1/1,leaf
35,17225,connected,,,compute-001,be-gpu3-port1,server,be-plane-b-leaf-04,E1/1/1,leaf
35,17226,connected,,,compute-001,be-gpu4-port0,server,be-plane-a-leaf-05,E1/1/1,leaf
35,17227,connected,,,compute-001,be-gpu4-port1,server,be-plane-b-leaf-05,E1/1/1,leaf
35,17228,connected,,,compute-001,be-gpu5-port0,server,be-plane-a-leaf-06,E1/1/1,leaf
35,17229,connected,,,compute-001,be-gpu5-port1,server,be-plane-b-leaf-06,E1/1/1,leaf
35,17230,connected,,,compute-001,be-gpu6-port0,server,be-plane-a-leaf-07,E1/1/1,leaf
35,17231,connected,,,compute-001,be-gpu6-port1,server,be-plane-b-leaf-07,E1/1/1,leaf
35,17232,connected,,,compute-001,be-gpu7-port0,server,be-plane-a-leaf-08,E1/1/1,leaf
35,17233,connected,,,compute-001,be-gpu7-port1,server,be-plane-b-leaf-08,E1/1/1,leaf
35,17234,connected,,,compute-001,fe-p0,server,fe-leaf-01,E1/1/1,leaf
35,17235,connected,,,compute-001,fe-p1,server,fe-leaf-02,E1/1/1,leaf
35,17236,connected,,,compute-002,be-gpu0-port0,server,be-plane-a-leaf-01,E1/1/2,leaf
35,17237,connected,,,compute-002,be-gpu0-port1,server,be-plane-b-leaf-01,E1/1/2,leaf
35,17238,connected,,,compute-002,be-gpu1-port0,server,be-plane-a-leaf-02,E1/1/2,leaf
35,17239,connected,,,compute-002,be-gpu1-port1,server,be-plane-b-leaf-02,E1/1/2,leaf
35,17240,connected,,,compute-002,be-gpu2-port0,server,be-plane-a-leaf-03,E1/1/2,leaf
35,17241,connected,,,compute-002,be-gpu2-port1,server,be-plane-b-leaf-03,E1/1/2,leaf
35,17242,connected,,,compute-002,be-gpu3-port0,server,be-plane-a-leaf-04,E1/1/2,leaf
