plan_id,cable_id,status,type,zone,a_device,a_interface,a_role,b_device,b_interface,b_role
48,24102,connected,,,compute-001,be0-port0,server,be-rail-leaf-01,E1/1/1,leaf
48,24103,connected,,,compute-001,be1-port0,server,be-rail-leaf-01,E1/1/2,leaf
48,24104,connected,,,compute-001,be2-port0,server,be-rail-leaf-01,E1/2/1,leaf
48,24105,connected,,,compute-001,be3-port0,server,be-rail-leaf-01,E1/2/2,leaf
48,24106,connected,,,compute-001,be4-port0,server,be-rail-leaf-01,E1/3/1,leaf
48,24107,connected,,,compute-001,be5-port0,server,be-rail-leaf-01,E1/3/2,leaf
48,24108,connected,,,compute-001,be6-port0,server,be-rail-leaf-01,E1/4/1,leaf
48,24109,connected,,,compute-001,be7-port0,server,be-rail-leaf-01,E1/4/2,leaf
48,24110,connected,,,compute-001,fe-p0,server,fe-leaf-01,E1/1/1,leaf
48,24111,connected,,,compute-001,fe-p1,server,fe-leaf-02,E1/1/1,leaf
48,24112,connected,,,compute-002,be0-port0,server,be-rail-leaf-01,E1/5/1,leaf
48,24113,connected,,,compute-002,be1-port0,server,be-rail-leaf-01,E1/5/2,leaf
48,24114,connected,,,compute-002,be2-port0,server,be-rail-leaf-01,E1/6/1,leaf
48,24115,connected,,,compute-002,be3-port0,server,be-rail-leaf-01,E1/6/2,leaf
48,24116,connected,,,compute-002,be4-port0,server,be-rail-leaf-01,E1/7/1,leaf
48,24117,connected,,,compute-002,be5-port0,server,be-rail-leaf-01,E1/7/2,leaf
48,24118,connected,,,compute-002,be6-port0,server,be-rail-leaf-01,E1/8/1,leaf
48,24119,connected,,,compute-002,be7-port0,server,be-rail-leaf-01,E1/8/2,leaf
48,24120,connected,,,compute-002,fe-p0,server,fe-leaf-01,E1/1/2,leaf
48,24121,connected,,,compute-002,fe-p1,server,fe-leaf-02,E1/1/2,leaf
48,24122,connected,,,compute-003,be0-port0,server,be-rail-leaf-01,E1/9/1,leaf
48,24123,connected,,,compute-003,be1-port0,server,be-rail-leaf-01,E1/9/2,leaf
48,24124,connected,,,compute-003,be2-port0,server,be-rail-leaf-01,E1/10/1,leaf
48,24125,connected,,,compute-003,be3-port0,server,be-rail-leaf-01,E1/10/2,leaf
48,24126,connected,,,compute-003,be4-port0,server,be-rail-leaf-01,E1/11/1,leaf
48,24127,connected,,,compute-003,be5-port0,server,be-rail-leaf-01,E1/11/2,leaf
48,24128,connected,,,compute-003,be6-port0,server,be-rail-leaf-01,E1/12/1,leaf
48,24129,connected,,,compute-003,be7-port0,server,be-rail-leaf-01,E1/12/2,leaf
48,24130,connected,,,compute-003,fe-p0,server,fe-leaf-01,E1/1/3,leaf
48,24131,connected,,,compute-003,fe-p1,server,fe-leaf-02,E1/1/3,leaf
48,24132,connected,,,compute-004,be0-port0,server,be-rail-leaf-01,E1/13/1,leaf
48,24133,connected,,,compute-004,be1-port0,server,be-rail-leaf-01,E1/13/2,leaf
48,24134,connected,,,compute-004,be2-port0,server,be-rail-leaf-01,E1/14/1,leaf
48,24135,connected,,,compute-004,be3-port0,server,be-rail-leaf-01,E1/14/2,leaf
48,24136,connected,,,compute-004,be4-port0,server,be-rail-leaf-01,E1/15/1,leaf
48,24137,connected,,,compute-004,be5-port0,server,be-rail-leaf-01,E1/15/2,leaf
48,24138,connected,,,compute-004,be6-port0,server,be-rail-leaf-01,E1/16/1,leaf
48,24139,connected,,,compute-004,be7-port0,server,be-rail-leaf-01,E1/16/2,leaf
48,24140,connected,,,compute-004,fe-p0,server,fe-leaf-01,E1/1/4,leaf
48,24141,connected,,,compute-004,fe-p1,server,fe-leaf-02,E1/1/4,leaf
48,24142,connected,,,compute-005,be0-port0,server,be-rail-leaf-01,E1/17/1,leaf
48,24143,connected,,,compute-005,be1-port0,server,be-rail-leaf-01,E1/17/2,leaf
48,24144,connected,,,compute-005,be2-port0,server,be-rail-leaf-01,E1/18/1,leaf
48,24145,connected,,,compute-005,be3-port0,server,be-rail-leaf-01,E1/18/2,leaf
48,24146,connected,,,compute-005,be4-port0,server,be-rail-leaf-01,E1/19/1,leaf
48,24147,connected,,,compute-005,be5-port0,server,be-rail-leaf-01,E1/19/2,leaf
48,24148,connected,,,compute-005,be6-port0,server,be-rail-leaf-01,E1/20/1,leaf
48,24149,connected,,,compute-005,be7-port0,server,be-rail-leaf-01,E1/20/2,leaf
48,24150,connected,,,compute-005,fe-p0,server,fe-leaf-01,E1/3/1,leaf
48,24151,connected,,,compute-005,fe-p1,server,fe-leaf-02,E1/3/1,leaf
48,24152,connected,,,compute-006,be0-port0,server,be-rail-leaf-01,E1/21/1,leaf
48,24153,connected,,,compute-006,be1-port0,server,be-rail-leaf-01,E1/21/2,leaf
48,24154,connected,,,compute-006,be2-port0,server,be-rail-leaf-01,E1/22/1,leaf
48,24155,connected,,,compute-006,be3-port0,server,be-rail-leaf-01,E1/22/2,leaf
48,24156,connected,,,compute-006,be4-port0,server,be-rail-leaf-01,E1/23/1,leaf
48,24157,connected,,,compute-006,be5-port0,server,be-rail-leaf-01,E1/23/2,leaf
48,24158,connected,,,compute-006,be6-port0,server,be-rail-leaf-01,E1/24/1,leaf
48,24159,connected,,,compute-006,be7-port0,server,be-rail-leaf-01,E1/24/2,leaf
48,24160,connected,,,compute-006,fe-p0,server,fe-leaf-01,E1/3/2,leaf
48,24161,connected,,,compute-006,fe-p1,server,fe-leaf-02,E1/3/2,leaf
48,24162,connected,,,compute-007,be0-port0,server,be-rail-leaf-01,E1/25/1,leaf
48,24163,connected,,,compute-007,be1-port0,server,be-rail-leaf-01,E1/25/2,leaf
48,24164,connected,,,compute-007,be2-port0,server,be-rail-leaf-01,E1/26/1,leaf
48,24165,connected,,,compute-007,be3-port0,server,be-rail-leaf-01,E1/26/2,leaf
48,24166,connected,,,compute-007,be4-port0,server,be-rail-leaf-01,E1/27/1,leaf
48,24167,connected,,,compute-007,be5-port0,server,be-rail-leaf-01,E1/27/2,leaf
48,24168,connected,,,compute-007,be6-port0,server,be-rail-leaf-01,E1/28/1,leaf
48,24169,connected,,,compute-007,be7-port0,server,be-rail-leaf-01,E1/28/2,leaf
48,24170,connected,,,compute-007,fe-p0,server,fe-leaf-01,E1/3/3,leaf
48,24171,connected,,,compute-007,fe-p1,server,fe-leaf-02,E1/3/3,leaf
48,24172,connected,,,compute-008,be0-port0,server,be-rail-leaf-01,E1/29/1,leaf
48,24173,connected,,,compute-008,be1-port0,server,be-rail-leaf-01,E1/29/2,leaf
48,24174,connected,,,compute-008,be2-port0,server,be-rail-leaf-01,E1/30/1,leaf
48,24175,connected,,,compute-008,be3-port0,server,be-rail-leaf-01,E1/30/2,leaf
48,24176,connected,,,compute-008,be4-port0,server,be-rail-leaf-01,E1/31/1,leaf
48,24177,connected,,,compute-008,be5-port0,server,be-rail-leaf-01,E1/31/2,leaf
48,24178,connected,,,compute-008,be6-port0,server,be-rail-leaf-01,E1/32/1,leaf
48,24179,connected,,,compute-008,be7-port0,server,be-rail-leaf-01,E1/32/2,leaf
48,24180,connected,,,compute-008,fe-p0,server,fe-leaf-01,E1/3/4,leaf
48,24181,connected,,,compute-008,fe-p1,server,fe-leaf-02,E1/3/4,leaf
48,24182,connected,,,be-rail-leaf-01,E1/33,leaf,be-spine-01,E1/1,spine
48,24183,connected,,,be-rail-leaf-01,E1/34,leaf,be-spine-01,E1/2,spine
48,24184,connected,,,be-rail-leaf-01,E1/35,leaf,be-spine-01,E1/3,spine
48,24185,connected,,,be-rail-leaf-01,E1/36,leaf,be-spine-01,E1/4,spine
48,24186,connected,,,be-rail-leaf-01,E1/37,leaf,be-spine-01,E1/5,spine
48,24187,connected,,,be-rail-leaf-01,E1/38,leaf,be-spine-01,E1/6,spine
48,24188,connected,,,be-rail-leaf-01,E1/39,leaf,be-spine-01,E1/7,spine
48,24189,connected,,,be-rail-leaf-01,E1/40,leaf,be-spine-01,E1/8,spine
48,24190,connected,,,be-rail-leaf-01,E1/41,leaf,be-spine-01,E1/9,spine
48,24191,connected,,,be-rail-leaf-01,E1/42,leaf,be-spine-01,E1/10,spine
48,24192,connected,,,be-rail-leaf-01,E1/43,leaf,be-spine-01,E1/11,spine
48,24193,connected,,,be-rail-leaf-01,E1/44,leaf,be-spine-01,E1/12,spine
48,24194,connected,,,be-rail-leaf-01,E1/45,leaf,be-spine-01,E1/13,spine
48,24195,connected,,,be-rail-leaf-01,E1/46,leaf,be-spine-01,E1/14,spine
48,24196,connected,,,be-rail-leaf-01,E1/47,leaf,be-spine-01,E1/15,spine
48,24197,connected,,,be-rail-leaf-01,E1/48,leaf,be-spine-01,E1/16,spine
