plan_id,cable_id,status,type,zone,a_device,a_interface,a_role,b_device,b_interface,b_role
30,6639,connected,,,compute_xpu-001,be-be0,server,conv_leaf-01,E1/1/1,leaf
30,6640,connected,,,compute_xpu-001,be-be1,server,conv_leaf-02,E1/1/1,leaf
30,6641,connected,,,compute_xpu-001,be-be2,server,conv_leaf-01,E1/1/2,leaf
30,6642,connected,,,compute_xpu-001,be-be3,server,conv_leaf-02,E1/1/2,leaf
30,6643,connected,,,compute_xpu-001,be-be4,server,conv_leaf-01,E1/2/1,leaf
30,6644,connected,,,compute_xpu-001,be-be5,server,conv_leaf-02,E1/2/1,leaf
30,6645,connected,,,compute_xpu-001,be-be6,server,conv_leaf-01,E1/2/2,leaf
30,6646,connected,,,compute_xpu-001,be-be7,server,conv_leaf-02,E1/2/2,leaf
30,6647,connected,,,compute_xpu-001,bmc-bmc0,server,oob_leaf-01,E1/1,leaf
30,6648,connected,,,compute_xpu-001,fe-fe0,server,conv_leaf-01,E1/27/1,leaf
30,6649,connected,,,compute_xpu-001,fe-fe1,server,conv_leaf-02,E1/27/1,leaf
30,6650,connected,,,compute_xpu-002,be-be0,server,conv_leaf-01,E1/3/1,leaf
30,6651,connected,,,compute_xpu-002,be-be1,server,conv_leaf-02,E1/3/1,leaf
30,6652,connected,,,compute_xpu-002,be-be2,server,conv_leaf-01,E1/3/2,leaf
30,6653,connected,,,compute_xpu-002,be-be3,server,conv_leaf-02,E1/3/2,leaf
30,6654,connected,,,compute_xpu-002,be-be4,server,conv_leaf-01,E1/4/1,leaf
30,6655,connected,,,compute_xpu-002,be-be5,server,conv_leaf-02,E1/4/1,leaf
30,6656,connected,,,compute_xpu-002,be-be6,server,conv_leaf-01,E1/4/2,leaf
30,6657,connected,,,compute_xpu-002,be-be7,server,conv_leaf-02,E1/4/2,leaf
30,6658,connected,,,compute_xpu-002,bmc-bmc0,server,oob_leaf-02,E1/1,leaf
30,6659,connected,,,compute_xpu-002,fe-fe0,server,conv_leaf-01,E1/27/2,leaf
30,6660,connected,,,compute_xpu-002,fe-fe1,server,conv_leaf-02,E1/27/2,leaf
30,6661,connected,,,compute_xpu-003,be-be0,server,conv_leaf-01,E1/5/1,leaf
30,6662,connected,,,compute_xpu-003,be-be1,server,conv_leaf-02,E1/5/1,leaf
30,6663,connected,,,compute_xpu-003,be-be2,server,conv_leaf-01,E1/5/2,leaf
30,6664,connected,,,compute_xpu-003,be-be3,server,conv_leaf-02,E1/5/2,leaf
30,6665,connected,,,compute_xpu-003,be-be4,server,conv_leaf-01,E1/6/1,leaf
30,6666,connected,,,compute_xpu-003,be-be5,server,conv_leaf-02,E1/6/1,leaf
30,6667,connected,,,compute_xpu-003,be-be6,server,conv_leaf-01,E1/6/2,leaf
30,6668,connected,,,compute_xpu-003,be-be7,server,conv_leaf-02,E1/6/2,leaf
30,6669,connected,,,compute_xpu-003,bmc-bmc0,server,oob_leaf-01,E1/2,leaf
30,6670,connected,,,compute_xpu-003,fe-fe0,server,conv_leaf-01,E1/27/3,leaf
30,6671,connected,,,compute_xpu-003,fe-fe1,server,conv_leaf-02,E1/27/3,leaf
30,6672,connected,,,compute_xpu-004,be-be0,server,conv_leaf-01,E1/7/1,leaf
30,6673,connected,,,compute_xpu-004,be-be1,server,conv_leaf-02,E1/7/1,leaf
30,6674,connected,,,compute_xpu-004,be-be2,server,conv_leaf-01,E1/7/2,leaf
30,6675,connected,,,compute_xpu-004,be-be3,server,conv_leaf-02,E1/7/2,leaf
30,6676,connected,,,compute_xpu-004,be-be4,server,conv_leaf-01,E1/8/1,leaf
30,6677,connected,,,compute_xpu-004,be-be5,server,conv_leaf-02,E1/8/1,leaf
30,6678,connected,,,compute_xpu-004,be-be6,server,conv_leaf-01,E1/8/2,leaf
30,6679,connected,,,compute_xpu-004,be-be7,server,conv_leaf-02,E1/8/2,leaf
30,6680,connected,,,compute_xpu-004,bmc-bmc0,server,oob_leaf-02,E1/2,leaf
30,6681,connected,,,compute_xpu-004,fe-fe0,server,conv_leaf-01,E1/27/4,leaf
30,6682,connected,,,compute_xpu-004,fe-fe1,server,conv_leaf-02,E1/27/4,leaf
30,6683,connected,,,compute_xpu-005,be-be0,server,conv_leaf-01,E1/9/1,leaf
30,6684,connected,,,compute_xpu-005,be-be1,server,conv_leaf-02,E1/9/1,leaf
30,6685,connected,,,compute_xpu-005,be-be2,server,conv_leaf-01,E1/9/2,leaf
30,6686,connected,,,compute_xpu-005,be-be3,server,conv_leaf-02,E1/9/2,leaf
30,6687,connected,,,compute_xpu-005,be-be4,server,conv_leaf-01,E1/10/1,leaf
30,6688,connected,,,compute_xpu-005,be-be5,server,conv_leaf-02,E1/10/1,leaf
30,6689,connected,,,compute_xpu-005,be-be6,server,conv_leaf-01,E1/10/2,leaf
30,6690,connected,,,compute_xpu-005,be-be7,server,conv_leaf-02,E1/10/2,leaf
30,6691,connected,,,compute_xpu-005,bmc-bmc0,server,oob_leaf-01,E1/3,leaf
30,6692,connected,,,compute_xpu-005,fe-fe0,server,conv_leaf-01,E1/29/1,leaf
30,6693,connected,,,compute_xpu-005,fe-fe1,server,conv_leaf-02,E1/29/1,leaf
30,6694,connected,,,compute_xpu-006,be-be0,server,conv_leaf-01,E1/11/1,leaf
30,6695,connected,,,compute_xpu-006,be-be1,server,conv_leaf-02,E1/11/1,leaf
30,6696,connected,,,compute_xpu-006,be-be2,server,conv_leaf-01,E1/11/2,leaf
30,6697,connected,,,compute_xpu-006,be-be3,server,conv_leaf-02,E1/11/2,leaf
30,6698,connected,,,compute_xpu-006,be-be4,server,conv_leaf-01,E1/12/1,leaf
30,6699,connected,,,compute_xpu-006,be-be5,server,conv_leaf-02,E1/12/1,leaf
30,6700,connected,,,compute_xpu-006,be-be6,server,conv_leaf-01,E1/12/2,leaf
30,6701,connected,,,compute_xpu-006,be-be7,server,conv_leaf-02,E1/12/2,leaf
30,6702,connected,,,compute_xpu-006,bmc-bmc0,server,oob_leaf-02,E1/3,leaf
30,6703,connected,,,compute_xpu-006,fe-fe0,server,conv_leaf-01,E1/29/2,leaf
30,6704,connected,,,compute_xpu-006,fe-fe1,server,conv_leaf-02,E1/29/2,leaf
30,6705,connected,,,compute_xpu-007,be-be0,server,conv_leaf-01,E1/13/1,leaf
30,6706,connected,,,compute_xpu-007,be-be1,server,conv_leaf-02,E1/13/1,leaf
30,6707,connected,,,compute_xpu-007,be-be2,server,conv_leaf-01,E1/13/2,leaf
30,6708,connected,,,compute_xpu-007,be-be3,server,conv_leaf-02,E1/13/2,leaf
