plan_id,cable_id,status,type,zone,a_device,a_interface,a_role,b_device,b_interface,b_role
21,9694,connected,,,compute-001,be0-port0,server,be-rail-leaf-01,E1/1/1,leaf
21,9695,connected,,,compute-001,be1-port0,server,be-rail-leaf-01,E1/1/2,leaf
21,9696,connected,,,compute-001,be2-port0,server,be-rail-leaf-01,E1/2/1,leaf
21,9697,connected,,,compute-001,be3-port0,server,be-rail-leaf-01,E1/2/2,leaf
21,9698,connected,,,compute-001,be4-port0,server,be-rail-leaf-02,E1/1/1,leaf
21,9699,connected,,,compute-001,be5-port0,server,be-rail-leaf-02,E1/1/2,leaf
21,9700,connected,,,compute-001,be6-port0,server,be-rail-leaf-02,E1/2/1,leaf
21,9701,connected,,,compute-001,be7-port0,server,be-rail-leaf-02,E1/2/2,leaf
21,9702,connected,,,compute-001,fe-p0,server,fe-leaf-01,E1/1/1,leaf
21,9703,connected,,,compute-001,fe-p1,server,fe-leaf-02,E1/1/1,leaf
21,9704,connected,,,compute-002,be0-port0,server,be-rail-leaf-01,E1/3/1,leaf
21,9705,connected,,,compute-002,be1-port0,server,be-rail-leaf-01,E1/3/2,leaf
21,9706,connected,,,compute-002,be2-port0,server,be-rail-leaf-01,E1/4/1,leaf
21,9707,connected,,,compute-002,be3-port0,server,be-rail-leaf-01,E1/4/2,leaf
21,9708,connected,,,compute-002,be4-port0,server,be-rail-leaf-02,E1/3/1,leaf
21,9709,connected,,,compute-002,be5-port0,server,be-rail-leaf-02,E1/3/2,leaf
21,9710,connected,,,compute-002,be6-port0,server,be-rail-leaf-02,E1/4/1,leaf
21,9711,connected,,,compute-002,be7-port0,server,be-rail-leaf-02,E1/4/2,leaf
21,9712,connected,,,compute-002,fe-p0,server,fe-leaf-01,E1/1/2,leaf
21,9713,connected,,,compute-002,fe-p1,server,fe-leaf-02,E1/1/2,leaf
21,9714,connected,,,compute-003,be0-port0,server,be-rail-leaf-01,E1/5/1,leaf
21,9715,connected,,,compute-003,be1-port0,server,be-rail-leaf-01,E1/5/2,leaf
21,9716,connected,,,compute-003,be2-port0,server,be-rail-leaf-01,E1/6/1,leaf
21,9717,connected,,,compute-003,be3-port0,server,be-rail-leaf-01,E1/6/2,leaf
21,9718,connected,,,compute-003,be4-port0,server,be-rail-leaf-02,E1/5/1,leaf
21,9719,connected,,,compute-003,be5-port0,server,be-rail-leaf-02,E1/5/2,leaf
21,9720,connected,,,compute-003,be6-port0,server,be-rail-leaf-02,E1/6/1,leaf
21,9721,connected,,,compute-003,be7-port0,server,be-rail-leaf-02,E1/6/2,leaf
21,9722,connected,,,compute-003,fe-p0,server,fe-leaf-01,E1/1/3,leaf
21,9723,connected,,,compute-003,fe-p1,server,fe-leaf-02,E1/1/3,leaf
21,9724,connected,,,compute-004,be0-port0,server,be-rail-leaf-01,E1/7/1,leaf
21,9725,connected,,,compute-004,be1-port0,server,be-rail-leaf-01,E1/7/2,leaf
21,9726,connected,,,compute-004,be2-port0,server,be-rail-leaf-01,E1/8/1,leaf
21,9727,connected,,,compute-004,be3-port0,server,be-rail-leaf-01,E1/8/2,leaf
21,9728,connected,,,compute-004,be4-port0,server,be-rail-leaf-02,E1/7/1,leaf
21,9729,connected,,,compute-004,be5-port0,server,be-rail-leaf-02,E1/7/2,leaf
21,9730,connected,,,compute-004,be6-port0,server,be-rail-leaf-02,E1/8/1,leaf
21,9731,connected,,,compute-004,be7-port0,server,be-rail-leaf-02,E1/8/2,leaf
21,9732,connected,,,compute-004,fe-p0,server,fe-leaf-01,E1/1/4,leaf
21,9733,connected,,,compute-004,fe-p1,server,fe-leaf-02,E1/1/4,leaf
21,9734,connected,,,compute-005,be0-port0,server,be-rail-leaf-01,E1/9/1,leaf
21,9735,connected,,,compute-005,be1-port0,server,be-rail-leaf-01,E1/9/2,leaf
21,9736,connected,,,compute-005,be2-port0,server,be-rail-leaf-01,E1/10/1,leaf
21,9737,connected,,,compute-005,be3-port0,server,be-rail-leaf-01,E1/10/2,leaf
21,9738,connected,,,compute-005,be4-port0,server,be-rail-leaf-02,E1/9/1,leaf
21,9739,connected,,,compute-005,be5-port0,server,be-rail-leaf-02,E1/9/2,leaf
21,9740,connected,,,compute-005,be6-port0,server,be-rail-leaf-02,E1/10/1,leaf
21,9741,connected,,,compute-005,be7-port0,server,be-rail-leaf-02,E1/10/2,leaf
21,9742,connected,,,compute-005,fe-p0,server,fe-leaf-01,E1/3/1,leaf
21,9743,connected,,,compute-005,fe-p1,server,fe-leaf-02,E1/3/1,leaf
21,9744,connected,,,compute-006,be0-port0,server,be-rail-leaf-01,E1/11/1,leaf
21,9745,connected,,,compute-006,be1-port0,server,be-rail-leaf-01,E1/11/2,leaf
21,9746,connected,,,compute-006,be2-port0,server,be-rail-leaf-01,E1/12/1,leaf
21,9747,connected,,,compute-006,be3-port0,server,be-rail-leaf-01,E1/12/2,leaf
21,9748,connected,,,compute-006,be4-port0,server,be-rail-leaf-02,E1/11/1,leaf
21,9749,connected,,,compute-006,be5-port0,server,be-rail-leaf-02,E1/11/2,leaf
21,9750,connected,,,compute-006,be6-port0,server,be-rail-leaf-02,E1/12/1,leaf
21,9751,connected,,,compute-006,be7-port0,server,be-rail-leaf-02,E1/12/2,leaf
21,9752,connected,,,compute-006,fe-p0,server,fe-leaf-01,E1/3/2,leaf
21,9753,connected,,,compute-006,fe-p1,server,fe-leaf-02,E1/3/2,leaf
21,9754,connected,,,compute-007,be0-port0,server,be-rail-leaf-01,E1/13/1,leaf
21,9755,connected,,,compute-007,be1-port0,server,be-rail-leaf-01,E1/13/2,leaf
21,9756,connected,,,compute-007,be2-port0,server,be-rail-leaf-01,E1/14/1,leaf
21,9757,connected,,,compute-007,be3-port0,server,be-rail-leaf-01,E1/14/2,leaf
21,9758,connected,,,compute-007,be4-port0,server,be-rail-leaf-02,E1/13/1,leaf
21,9759,connected,,,compute-007,be5-port0,server,be-rail-leaf-02,E1/13/2,leaf
21,9760,connected,,,compute-007,be6-port0,server,be-rail-leaf-02,E1/14/1,leaf
21,9761,connected,,,compute-007,be7-port0,server,be-rail-leaf-02,E1/14/2,leaf
21,9762,connected,,,compute-007,fe-p0,server,fe-leaf-01,E1/3/3,leaf
21,9763,connected,,,compute-007,fe-p1,server,fe-leaf-02,E1/3/3,leaf
21,9764,connected,,,compute-008,be0-port0,server,be-rail-leaf-01,E1/15/1,leaf
21,9765,connected,,,compute-008,be1-port0,server,be-rail-leaf-01,E1/15/2,leaf
21,9766,connected,,,compute-008,be2-port0,server,be-rail-leaf-01,E1/16/1,leaf
21,9767,connected,,,compute-008,be3-port0,server,be-rail-leaf-01,E1/16/2,leaf
21,9768,connected,,,compute-008,be4-port0,server,be-rail-leaf-02,E1/15/1,leaf
21,9769,connected,,,compute-008,be5-port0,server,be-rail-leaf-02,E1/15/2,leaf
21,9770,connected,,,compute-008,be6-port0,server,be-rail-leaf-02,E1/16/1,leaf
21,9771,connected,,,compute-008,be7-port0,server,be-rail-leaf-02,E1/16/2,leaf
21,9772,connected,,,compute-008,fe-p0,server,fe-leaf-01,E1/3/4,leaf
21,9773,connected,,,compute-008,fe-p1,server,fe-leaf-02,E1/3/4,leaf
21,9774,connected,,,compute-009,be0-port0,server,be-rail-leaf-01,E1/17/1,leaf
21,9775,connected,,,compute-009,be1-port0,server,be-rail-leaf-01,E1/17/2,leaf
21,9776,connected,,,compute-009,be2-port0,server,be-rail-leaf-01,E1/18/1,leaf
21,9777,connected,,,compute-009,be3-port0,server,be-rail-leaf-01,E1/18/2,leaf
21,9778,connected,,,compute-009,be4-port0,server,be-rail-leaf-02,E1/17/1,leaf
21,9779,connected,,,compute-009,be5-port0,server,be-rail-leaf-02,E1/17/2,leaf
21,9780,connected,,,compute-009,be6-port0,server,be-rail-leaf-02,E1/18/1,leaf
21,9781,connected,,,compute-009,be7-port0,server,be-rail-leaf-02,E1/18/2,leaf
21,9782,connected,,,compute-009,fe-p0,server,fe-leaf-01,E1/5/1,leaf
21,9783,connected,,,compute-009,fe-p1,server,fe-leaf-02,E1/5/1,leaf
21,9784,connected,,,compute-010,be0-port0,server,be-rail-leaf-01,E1/19/1,leaf
21,9785,connected,,,compute-010,be1-port0,server,be-rail-leaf-01,E1/19/2,leaf
21,9786,connected,,,compute-010,be2-port0,server,be-rail-leaf-01,E1/20/1,leaf
21,9787,connected,,,compute-010,be3-port0,server,be-rail-leaf-01,E1/20/2,leaf
21,9788,connected,,,compute-010,be4-port0,server,be-rail-leaf-02,E1/19/1,leaf
21,9789,connected,,,compute-010,be5-port0,server,be-rail-leaf-02,E1/19/2,leaf
21,9790,connected,,,compute-010,be6-port0,server,be-rail-leaf-02,E1/20/1,leaf
21,9791,connected,,,compute-010,be7-port0,server,be-rail-leaf-02,E1/20/2,leaf
21,9792,connected,,,compute-010,fe-p0,server,fe-leaf-01,E1/5/2,leaf
21,9793,connected,,,compute-010,fe-p1,server,fe-leaf-02,E1/5/2,leaf
21,9794,connected,,,compute-011,be0-port0,server,be-rail-leaf-01,E1/21/1,leaf
21,9795,connected,,,compute-011,be1-port0,server,be-rail-leaf-01,E1/21/2,leaf
21,9796,connected,,,compute-011,be2-port0,server,be-rail-leaf-01,E1/22/1,leaf
21,9797,connected,,,compute-011,be3-port0,server,be-rail-leaf-01,E1/22/2,leaf
21,9798,connected,,,compute-011,be4-port0,server,be-rail-leaf-02,E1/21/1,leaf
21,9799,connected,,,compute-011,be5-port0,server,be-rail-leaf-02,E1/21/2,leaf
21,9800,connected,,,compute-011,be6-port0,server,be-rail-leaf-02,E1/22/1,leaf
21,9801,connected,,,compute-011,be7-port0,server,be-rail-leaf-02,E1/22/2,leaf
21,9802,connected,,,compute-011,fe-p0,server,fe-leaf-01,E1/5/3,leaf
21,9803,connected,,,compute-011,fe-p1,server,fe-leaf-02,E1/5/3,leaf
21,9804,connected,,,compute-012,be0-port0,server,be-rail-leaf-01,E1/23/1,leaf
21,9805,connected,,,compute-012,be1-port0,server,be-rail-leaf-01,E1/23/2,leaf
21,9806,connected,,,compute-012,be2-port0,server,be-rail-leaf-01,E1/24/1,leaf
21,9807,connected,,,compute-012,be3-port0,server,be-rail-leaf-01,E1/24/2,leaf
21,9808,connected,,,compute-012,be4-port0,server,be-rail-leaf-02,E1/23/1,leaf
21,9809,connected,,,compute-012,be5-port0,server,be-rail-leaf-02,E1/23/2,leaf
21,9810,connected,,,compute-012,be6-port0,server,be-rail-leaf-02,E1/24/1,leaf
21,9811,connected,,,compute-012,be7-port0,server,be-rail-leaf-02,E1/24/2,leaf
21,9812,connected,,,compute-012,fe-p0,server,fe-leaf-01,E1/5/4,leaf
21,9813,connected,,,compute-012,fe-p1,server,fe-leaf-02,E1/5/4,leaf
21,9814,connected,,,compute-013,be0-port0,server,be-rail-leaf-01,E1/25/1,leaf
21,9815,connected,,,compute-013,be1-port0,server,be-rail-leaf-01,E1/25/2,leaf
21,9816,connected,,,compute-013,be2-port0,server,be-rail-leaf-01,E1/26/1,leaf
21,9817,connected,,,compute-013,be3-port0,server,be-rail-leaf-01,E1/26/2,leaf
21,9818,connected,,,compute-013,be4-port0,server,be-rail-leaf-02,E1/25/1,leaf
21,9819,connected,,,compute-013,be5-port0,server,be-rail-leaf-02,E1/25/2,leaf
