plan_id,cable_id,status,type,zone,a_device,a_interface,a_role,b_device,b_interface,b_role
22,9982,connected,,,compute-001,be0-port0,server,be-leaf-01,E1/1/1,leaf
22,9983,connected,,,compute-001,be1-port0,server,be-leaf-01,E1/1/2,leaf
22,9984,connected,,,compute-001,be2-port0,server,be-leaf-01,E1/2/1,leaf
22,9985,connected,,,compute-001,be3-port0,server,be-leaf-01,E1/2/2,leaf
22,9986,connected,,,compute-001,be4-port0,server,be-leaf-02,E1/1/1,leaf
22,9987,connected,,,compute-001,be5-port0,server,be-leaf-02,E1/1/2,leaf
22,9988,connected,,,compute-001,be6-port0,server,be-leaf-02,E1/2/1,leaf
22,9989,connected,,,compute-001,be7-port0,server,be-leaf-02,E1/2/2,leaf
22,9990,connected,,,compute-001,fe-p0,server,fe-leaf-01,E1/1/1,leaf
22,9991,connected,,,compute-001,fe-p1,server,fe-leaf-02,E1/1/1,leaf
22,9992,connected,,,compute-002,be0-port0,server,be-leaf-01,E1/3/1,leaf
22,9993,connected,,,compute-002,be1-port0,server,be-leaf-01,E1/3/2,leaf
22,9994,connected,,,compute-002,be2-port0,server,be-leaf-01,E1/4/1,leaf
22,9995,connected,,,compute-002,be3-port0,server,be-leaf-01,E1/4/2,leaf
22,9996,connected,,,compute-002,be4-port0,server,be-leaf-02,E1/3/1,leaf
22,9997,connected,,,compute-002,be5-port0,server,be-leaf-02,E1/3/2,leaf
22,9998,connected,,,compute-002,be6-port0,server,be-leaf-02,E1/4/1,leaf
22,9999,connected,,,compute-002,be7-port0,server,be-leaf-02,E1/4/2,leaf
22,10000,connected,,,compute-002,fe-p0,server,fe-leaf-01,E1/1/2,leaf
22,10001,connected,,,compute-002,fe-p1,server,fe-leaf-02,E1/1/2,leaf
22,10002,connected,,,compute-003,be0-port0,server,be-leaf-01,E1/5/1,leaf
22,10003,connected,,,compute-003,be1-port0,server,be-leaf-01,E1/5/2,leaf
22,10004,connected,,,compute-003,be2-port0,server,be-leaf-01,E1/6/1,leaf
22,10005,connected,,,compute-003,be3-port0,server,be-leaf-01,E1/6/2,leaf
22,10006,connected,,,compute-003,be4-port0,server,be-leaf-02,E1/5/1,leaf
22,10007,connected,,,compute-003,be5-port0,server,be-leaf-02,E1/5/2,leaf
22,10008,connected,,,compute-003,be6-port0,server,be-leaf-02,E1/6/1,leaf
22,10009,connected,,,compute-003,be7-port0,server,be-leaf-02,E1/6/2,leaf
22,10010,connected,,,compute-003,fe-p0,server,fe-leaf-01,E1/1/3,leaf
22,10011,connected,,,compute-003,fe-p1,server,fe-leaf-02,E1/1/3,leaf
22,10012,connected,,,compute-004,be0-port0,server,be-leaf-01,E1/7/1,leaf
22,10013,connected,,,compute-004,be1-port0,server,be-leaf-01,E1/7/2,leaf
22,10014,connected,,,compute-004,be2-port0,server,be-leaf-01,E1/8/1,leaf
22,10015,connected,,,compute-004,be3-port0,server,be-leaf-01,E1/8/2,leaf
22,10016,connected,,,compute-004,be4-port0,server,be-leaf-02,E1/7/1,leaf
22,10017,connected,,,compute-004,be5-port0,server,be-leaf-02,E1/7/2,leaf
22,10018,connected,,,compute-004,be6-port0,server,be-leaf-02,E1/8/1,leaf
22,10019,connected,,,compute-004,be7-port0,server,be-leaf-02,E1/8/2,leaf
22,10020,connected,,,compute-004,fe-p0,server,fe-leaf-01,E1/1/4,leaf
22,10021,connected,,,compute-004,fe-p1,server,fe-leaf-02,E1/1/4,leaf
22,10022,connected,,,compute-005,be0-port0,server,be-leaf-01,E1/9/1,leaf
22,10023,connected,,,compute-005,be1-port0,server,be-leaf-01,E1/9/2,leaf
22,10024,connected,,,compute-005,be2-port0,server,be-leaf-01,E1/10/1,leaf
22,10025,connected,,,compute-005,be3-port0,server,be-leaf-01,E1/10/2,leaf
22,10026,connected,,,compute-005,be4-port0,server,be-leaf-02,E1/9/1,leaf
22,10027,connected,,,compute-005,be5-port0,server,be-leaf-02,E1/9/2,leaf
22,10028,connected,,,compute-005,be6-port0,server,be-leaf-02,E1/10/1,leaf
22,10029,connected,,,compute-005,be7-port0,server,be-leaf-02,E1/10/2,leaf
22,10030,connected,,,compute-005,fe-p0,server,fe-leaf-01,E1/3/1,leaf
22,10031,connected,,,compute-005,fe-p1,server,fe-leaf-02,E1/3/1,leaf
22,10032,connected,,,compute-006,be0-port0,server,be-leaf-01,E1/11/1,leaf
22,10033,connected,,,compute-006,be1-port0,server,be-leaf-01,E1/11/2,leaf
22,10034,connected,,,compute-006,be2-port0,server,be-leaf-01,E1/12/1,leaf
