plan_id,cable_id,status,type,zone,a_device,a_interface,a_role,b_device,b_interface,b_role
58,42678,connected,,,compute-001,be0-port0,server,be-rail-leaf-01,E1/1/1,leaf
58,42679,connected,,,compute-001,be1-port0,server,be-rail-leaf-01,E1/1/2,leaf
58,42680,connected,,,compute-001,be2-port0,server,be-rail-leaf-01,E1/2/1,leaf
58,42681,connected,,,compute-001,be3-port0,server,be-rail-leaf-01,E1/2/2,leaf
58,42682,connected,,,compute-001,be4-port0,server,be-rail-leaf-02,E1/1/1,leaf
58,42683,connected,,,compute-001,be5-port0,server,be-rail-leaf-02,E1/1/2,leaf
58,42684,connected,,,compute-001,be6-port0,server,be-rail-leaf-02,E1/2/1,leaf
58,42685,connected,,,compute-001,be7-port0,server,be-rail-leaf-02,E1/2/2,leaf
58,42686,connected,,,compute-001,fe-p0,server,fe-leaf-01,E1/1/1,leaf
58,42687,connected,,,compute-001,fe-p1,server,fe-leaf-02,E1/1/1,leaf
58,42688,connected,,,compute-002,be0-port0,server,be-rail-leaf-01,E1/3/1,leaf
58,42689,connected,,,compute-002,be1-port0,server,be-rail-leaf-01,E1/3/2,leaf
58,42690,connected,,,compute-002,be2-port0,server,be-rail-leaf-01,E1/4/1,leaf
58,42691,connected,,,compute-002,be3-port0,server,be-rail-leaf-01,E1/4/2,leaf
58,42692,connected,,,compute-002,be4-port0,server,be-rail-leaf-02,E1/3/1,leaf
58,42693,connected,,,compute-002,be5-port0,server,be-rail-leaf-02,E1/3/2,leaf
58,42694,connected,,,compute-002,be6-port0,server,be-rail-leaf-02,E1/4/1,leaf
58,42695,connected,,,compute-002,be7-port0,server,be-rail-leaf-02,E1/4/2,leaf
58,42696,connected,,,compute-002,fe-p0,server,fe-leaf-01,E1/1/2,leaf
58,42697,connected,,,compute-002,fe-p1,server,fe-leaf-02,E1/1/2,leaf
58,42698,connected,,,compute-003,be0-port0,server,be-rail-leaf-01,E1/5/1,leaf
58,42699,connected,,,compute-003,be1-port0,server,be-rail-leaf-01,E1/5/2,leaf
58,42700,connected,,,compute-003,be2-port0,server,be-rail-leaf-01,E1/6/1,leaf
58,42701,connected,,,compute-003,be3-port0,server,be-rail-leaf-01,E1/6/2,leaf
58,42702,connected,,,compute-003,be4-port0,server,be-rail-leaf-02,E1/5/1,leaf
58,42703,connected,,,compute-003,be5-port0,server,be-rail-leaf-02,E1/5/2,leaf
58,42704,connected,,,compute-003,be6-port0,server,be-rail-leaf-02,E1/6/1,leaf
58,42705,connected,,,compute-003,be7-port0,server,be-rail-leaf-02,E1/6/2,leaf
58,42706,connected,,,compute-003,fe-p0,server,fe-leaf-01,E1/1/3,leaf
58,42707,connected,,,compute-003,fe-p1,server,fe-leaf-02,E1/1/3,leaf
58,42708,connected,,,compute-004,be0-port0,server,be-rail-leaf-01,E1/7/1,leaf
58,42709,connected,,,compute-004,be1-port0,server,be-rail-leaf-01,E1/7/2,leaf
58,42710,connected,,,compute-004,be2-port0,server,be-rail-leaf-01,E1/8/1,leaf
58,42711,connected,,,compute-004,be3-port0,server,be-rail-leaf-01,E1/8/2,leaf
