plan_id,cable_id,status,type,zone,a_device,a_interface,a_role,b_device,b_interface,b_role
26,10938,connected,,,compute_xpu_a-001,inb_mgmt-mgmt0,server,inb_mgmt_leaf-01,E1/1,leaf
26,10939,connected,,,compute_xpu_a-001,bmc-bmc0,server,oob_leaf-01,E1/1,leaf
26,10940,connected,,,compute_xpu_a-001,scale_out-so0,server,scale_out_leaf_a-01,E1/1/1,leaf
26,10941,connected,,,compute_xpu_a-001,scale_out-so1,server,scale_out_leaf_a-01,E1/1/2,leaf
26,10942,connected,,,compute_xpu_a-001,scale_out-so2,server,scale_out_leaf_a-01,E1/2/1,leaf
26,10943,connected,,,compute_xpu_a-001,scale_out-so3,server,scale_out_leaf_a-01,E1/2/2,leaf
26,10944,connected,,,compute_xpu_a-001,scale_out-so4,server,scale_out_leaf_a-02,E1/1/1,leaf
26,10945,connected,,,compute_xpu_a-001,scale_out-so5,server,scale_out_leaf_a-02,E1/1/2,leaf
26,10946,connected,,,compute_xpu_a-001,scale_out-so6,server,scale_out_leaf_a-02,E1/2/1,leaf
26,10947,connected,,,compute_xpu_a-001,scale_out-so7,server,scale_out_leaf_a-02,E1/2/2,leaf
26,10948,connected,,,compute_xpu_a-001,soc_storage-ss0,server,soc_storage_leaf_a-01,E1/27/1,leaf
26,10949,connected,,,compute_xpu_a-001,soc_storage-ss1,server,soc_storage_leaf_a-02,E1/27/1,leaf
26,10950,connected,,,compute_xpu_a-002,inb_mgmt-mgmt0,server,inb_mgmt_leaf-01,E1/2,leaf
26,10951,connected,,,compute_xpu_a-002,bmc-bmc0,server,oob_leaf-01,E1/2,leaf
26,10952,connected,,,compute_xpu_a-002,scale_out-so0,server,scale_out_leaf_a-01,E1/3/1,leaf
26,10953,connected,,,compute_xpu_a-002,scale_out-so1,server,scale_out_leaf_a-01,E1/3/2,leaf
26,10954,connected,,,compute_xpu_a-002,scale_out-so2,server,scale_out_leaf_a-01,E1/4/1,leaf
26,10955,connected,,,compute_xpu_a-002,scale_out-so3,server,scale_out_leaf_a-01,E1/4/2,leaf
26,10956,connected,,,compute_xpu_a-002,scale_out-so4,server,scale_out_leaf_a-02,E1/3/1,leaf
26,10957,connected,,,compute_xpu_a-002,scale_out-so5,server,scale_out_leaf_a-02,E1/3/2,leaf
26,10958,connected,,,compute_xpu_a-002,scale_out-so6,server,scale_out_leaf_a-02,E1/4/1,leaf
26,10959,connected,,,compute_xpu_a-002,scale_out-so7,server,scale_out_leaf_a-02,E1/4/2,leaf
26,10960,connected,,,compute_xpu_a-002,soc_storage-ss0,server,soc_storage_leaf_a-01,E1/27/2,leaf
26,10961,connected,,,compute_xpu_a-002,soc_storage-ss1,server,soc_storage_leaf_a-02,E1/27/2,leaf
26,10962,connected,,,compute_xpu_a-003,inb_mgmt-mgmt0,server,inb_mgmt_leaf-01,E1/3,leaf
26,10963,connected,,,compute_xpu_a-003,bmc-bmc0,server,oob_leaf-01,E1/3,leaf
26,10964,connected,,,compute_xpu_a-003,scale_out-so0,server,scale_out_leaf_a-01,E1/5/1,leaf
26,10965,connected,,,compute_xpu_a-003,scale_out-so1,server,scale_out_leaf_a-01,E1/5/2,leaf
26,10966,connected,,,compute_xpu_a-003,scale_out-so2,server,scale_out_leaf_a-01,E1/6/1,leaf
26,10967,connected,,,compute_xpu_a-003,scale_out-so3,server,scale_out_leaf_a-01,E1/6/2,leaf
26,10968,connected,,,compute_xpu_a-003,scale_out-so4,server,scale_out_leaf_a-02,E1/5/1,leaf
26,10969,connected,,,compute_xpu_a-003,scale_out-so5,server,scale_out_leaf_a-02,E1/5/2,leaf
26,10970,connected,,,compute_xpu_a-003,scale_out-so6,server,scale_out_leaf_a-02,E1/6/1,leaf
26,10971,connected,,,compute_xpu_a-003,scale_out-so7,server,scale_out_leaf_a-02,E1/6/2,leaf
26,10972,connected,,,compute_xpu_a-003,soc_storage-ss0,server,soc_storage_leaf_a-01,E1/27/3,leaf
26,10973,connected,,,compute_xpu_a-003,soc_storage-ss1,server,soc_storage_leaf_a-02,E1/27/3,leaf
26,10974,connected,,,compute_xpu_a-004,inb_mgmt-mgmt0,server,inb_mgmt_leaf-01,E1/4,leaf
26,10975,connected,,,compute_xpu_a-004,bmc-bmc0,server,oob_leaf-01,E1/4,leaf
26,10976,connected,,,compute_xpu_a-004,scale_out-so0,server,scale_out_leaf_a-01,E1/7/1,leaf
26,10977,connected,,,compute_xpu_a-004,scale_out-so1,server,scale_out_leaf_a-01,E1/7/2,leaf
26,10978,connected,,,compute_xpu_a-004,scale_out-so2,server,scale_out_leaf_a-01,E1/8/1,leaf
26,10979,connected,,,compute_xpu_a-004,scale_out-so3,server,scale_out_leaf_a-01,E1/8/2,leaf
26,10980,connected,,,compute_xpu_a-004,scale_out-so4,server,scale_out_leaf_a-02,E1/7/1,leaf
26,10981,connected,,,compute_xpu_a-004,scale_out-so5,server,scale_out_leaf_a-02,E1/7/2,leaf
26,10982,connected,,,compute_xpu_a-004,scale_out-so6,server,scale_out_leaf_a-02,E1/8/1,leaf
26,10983,connected,,,compute_xpu_a-004,scale_out-so7,server,scale_out_leaf_a-02,E1/8/2,leaf
26,10984,connected,,,compute_xpu_a-004,soc_storage-ss0,server,soc_storage_leaf_a-01,E1/27/4,leaf
26,10985,connected,,,compute_xpu_a-004,soc_storage-ss1,server,soc_storage_leaf_a-02,E1/27/4,leaf
26,10986,connected,,,compute_xpu_a-005,inb_mgmt-mgmt0,server,inb_mgmt_leaf-02,E1/1,leaf
26,10987,connected,,,compute_xpu_a-005,bmc-bmc0,server,oob_leaf-02,E1/1,leaf
26,10988,connected,,,compute_xpu_a-005,scale_out-so0,server,scale_out_leaf_a-01,E1/9/1,leaf
26,10989,connected,,,compute_xpu_a-005,scale_out-so1,server,scale_out_leaf_a-01,E1/9/2,leaf
26,10990,connected,,,compute_xpu_a-005,scale_out-so2,server,scale_out_leaf_a-01,E1/10/1,leaf
26,10991,connected,,,compute_xpu_a-005,scale_out-so3,server,scale_out_leaf_a-01,E1/10/2,leaf
26,10992,connected,,,compute_xpu_a-005,scale_out-so4,server,scale_out_leaf_a-02,E1/9/1,leaf
26,10993,connected,,,compute_xpu_a-005,scale_out-so5,server,scale_out_leaf_a-02,E1/9/2,leaf
26,10994,connected,,,compute_xpu_a-005,scale_out-so6,server,scale_out_leaf_a-02,E1/10/1,leaf
26,10995,connected,,,compute_xpu_a-005,scale_out-so7,server,scale_out_leaf_a-02,E1/10/2,leaf
26,10996,connected,,,compute_xpu_a-005,soc_storage-ss0,server,soc_storage_leaf_a-01,E1/29/1,leaf
26,10997,connected,,,compute_xpu_a-005,soc_storage-ss1,server,soc_storage_leaf_a-02,E1/29/1,leaf
26,10998,connected,,,compute_xpu_a-006,inb_mgmt-mgmt0,server,inb_mgmt_leaf-02,E1/2,leaf
26,10999,connected,,,compute_xpu_a-006,bmc-bmc0,server,oob_leaf-02,E1/2,leaf
26,11000,connected,,,compute_xpu_a-006,scale_out-so0,server,scale_out_leaf_a-01,E1/11/1,leaf
26,11001,connected,,,compute_xpu_a-006,scale_out-so1,server,scale_out_leaf_a-01,E1/11/2,leaf
26,11002,connected,,,compute_xpu_a-006,scale_out-so2,server,scale_out_leaf_a-01,E1/12/1,leaf
26,11003,connected,,,compute_xpu_a-006,scale_out-so3,server,scale_out_leaf_a-01,E1/12/2,leaf
26,11004,connected,,,compute_xpu_a-006,scale_out-so4,server,scale_out_leaf_a-02,E1/11/1,leaf
26,11005,connected,,,compute_xpu_a-006,scale_out-so5,server,scale_out_leaf_a-02,E1/11/2,leaf
26,11006,connected,,,compute_xpu_a-006,scale_out-so6,server,scale_out_leaf_a-02,E1/12/1,leaf
26,11007,connected,,,compute_xpu_a-006,scale_out-so7,server,scale_out_leaf_a-02,E1/12/2,leaf
26,11008,connected,,,compute_xpu_a-006,soc_storage-ss0,server,soc_storage_leaf_a-01,E1/29/2,leaf
26,11009,connected,,,compute_xpu_a-006,soc_storage-ss1,server,soc_storage_leaf_a-02,E1/29/2,leaf
