plan_id,cable_id,status,type,zone,a_device,a_interface,a_role,b_device,b_interface,b_role
27,11198,connected,,,compute_xpu_a-001,inb_mgmt-mgmt0,server,inb_mgmt_leaf-01,E1/1,leaf
27,11199,connected,,,compute_xpu_a-001,bmc-bmc0,server,oob_leaf-01,E1/1,leaf
27,11200,connected,,,compute_xpu_a-001,scale_out-so0,server,scale_out_leaf_a-01,E1/1/1,leaf
27,11201,connected,,,compute_xpu_a-001,scale_out-so1,server,scale_out_leaf_a-01,E1/1/2,leaf
27,11202,connected,,,compute_xpu_a-001,scale_out-so2,server,scale_out_leaf_a-01,E1/2/1,leaf
27,11203,connected,,,compute_xpu_a-001,scale_out-so3,server,scale_out_leaf_a-01,E1/2/2,leaf
27,11204,connected,,,compute_xpu_a-001,scale_out-so4,server,scale_out_leaf_a-01,E1/3/1,leaf
27,11205,connected,,,compute_xpu_a-001,scale_out-so5,server,scale_out_leaf_a-01,E1/3/2,leaf
27,11206,connected,,,compute_xpu_a-001,scale_out-so6,server,scale_out_leaf_a-01,E1/4/1,leaf
27,11207,connected,,,compute_xpu_a-001,scale_out-so7,server,scale_out_leaf_a-01,E1/4/2,leaf
27,11208,connected,,,compute_xpu_a-001,soc_storage-ss0,server,soc_storage_leaf_a-01,E1/27/1,leaf
27,11209,connected,,,compute_xpu_a-001,soc_storage-ss1,server,soc_storage_leaf_a-02,E1/27/1,leaf
27,11210,connected,,,compute_xpu_a-002,inb_mgmt-mgmt0,server,inb_mgmt_leaf-01,E1/2,leaf
27,11211,connected,,,compute_xpu_a-002,bmc-bmc0,server,oob_leaf-01,E1/2,leaf
27,11212,connected,,,compute_xpu_a-002,scale_out-so0,server,scale_out_leaf_a-01,E1/5/1,leaf
27,11213,connected,,,compute_xpu_a-002,scale_out-so1,server,scale_out_leaf_a-01,E1/5/2,leaf
27,11214,connected,,,compute_xpu_a-002,scale_out-so2,server,scale_out_leaf_a-01,E1/6/1,leaf
27,11215,connected,,,compute_xpu_a-002,scale_out-so3,server,scale_out_leaf_a-01,E1/6/2,leaf
27,11216,connected,,,compute_xpu_a-002,scale_out-so4,server,scale_out_leaf_a-01,E1/7/1,leaf
27,11217,connected,,,compute_xpu_a-002,scale_out-so5,server,scale_out_leaf_a-01,E1/7/2,leaf
27,11218,connected,,,compute_xpu_a-002,scale_out-so6,server,scale_out_leaf_a-01,E1/8/1,leaf
27,11219,connected,,,compute_xpu_a-002,scale_out-so7,server,scale_out_leaf_a-01,E1/8/2,leaf
27,11220,connected,,,compute_xpu_a-002,soc_storage-ss0,server,soc_storage_leaf_a-01,E1/27/2,leaf
27,11221,connected,,,compute_xpu_a-002,soc_storage-ss1,server,soc_storage_leaf_a-02,E1/27/2,leaf
27,11222,connected,,,compute_xpu_a-003,inb_mgmt-mgmt0,server,inb_mgmt_leaf-01,E1/3,leaf
27,11223,connected,,,compute_xpu_a-003,bmc-bmc0,server,oob_leaf-01,E1/3,leaf
27,11224,connected,,,compute_xpu_a-003,scale_out-so0,server,scale_out_leaf_a-01,E1/9/1,leaf
27,11225,connected,,,compute_xpu_a-003,scale_out-so1,server,scale_out_leaf_a-01,E1/9/2,leaf
27,11226,connected,,,compute_xpu_a-003,scale_out-so2,server,scale_out_leaf_a-01,E1/10/1,leaf
27,11227,connected,,,compute_xpu_a-003,scale_out-so3,server,scale_out_leaf_a-01,E1/10/2,leaf
27,11228,connected,,,compute_xpu_a-003,scale_out-so4,server,scale_out_leaf_a-01,E1/11/1,leaf
27,11229,connected,,,compute_xpu_a-003,scale_out-so5,server,scale_out_leaf_a-01,E1/11/2,leaf
27,11230,connected,,,compute_xpu_a-003,scale_out-so6,server,scale_out_leaf_a-01,E1/12/1,leaf
27,11231,connected,,,compute_xpu_a-003,scale_out-so7,server,scale_out_leaf_a-01,E1/12/2,leaf
27,11232,connected,,,compute_xpu_a-003,soc_storage-ss0,server,soc_storage_leaf_a-01,E1/27/3,leaf
27,11233,connected,,,compute_xpu_a-003,soc_storage-ss1,server,soc_storage_leaf_a-02,E1/27/3,leaf
27,11234,connected,,,compute_xpu_a-004,inb_mgmt-mgmt0,server,inb_mgmt_leaf-01,E1/4,leaf
27,11235,connected,,,compute_xpu_a-004,bmc-bmc0,server,oob_leaf-01,E1/4,leaf
27,11236,connected,,,compute_xpu_a-004,scale_out-so0,server,scale_out_leaf_a-01,E1/13/1,leaf
27,11237,connected,,,compute_xpu_a-004,scale_out-so1,server,scale_out_leaf_a-01,E1/13/2,leaf
27,11238,connected,,,compute_xpu_a-004,scale_out-so2,server,scale_out_leaf_a-01,E1/14/1,leaf
27,11239,connected,,,compute_xpu_a-004,scale_out-so3,server,scale_out_leaf_a-01,E1/14/2,leaf
27,11240,connected,,,compute_xpu_a-004,scale_out-so4,server,scale_out_leaf_a-01,E1/15/1,leaf
27,11241,connected,,,compute_xpu_a-004,scale_out-so5,server,scale_out_leaf_a-01,E1/15/2,leaf
27,11242,connected,,,compute_xpu_a-004,scale_out-so6,server,scale_out_leaf_a-01,E1/16/1,leaf
27,11243,connected,,,compute_xpu_a-004,scale_out-so7,server,scale_out_leaf_a-01,E1/16/2,leaf
27,11244,connected,,,compute_xpu_a-004,soc_storage-ss0,server,soc_storage_leaf_a-01,E1/27/4,leaf
27,11245,connected,,,compute_xpu_a-004,soc_storage-ss1,server,soc_storage_leaf_a-02,E1/27/4,leaf
27,11246,connected,,,compute_xpu_a-005,inb_mgmt-mgmt0,server,inb_mgmt_leaf-02,E1/1,leaf
27,11247,connected,,,compute_xpu_a-005,bmc-bmc0,server,oob_leaf-02,E1/1,leaf
27,11248,connected,,,compute_xpu_a-005,scale_out-so0,server,scale_out_leaf_a-02,E1/1/1,leaf
27,11249,connected,,,compute_xpu_a-005,scale_out-so1,server,scale_out_leaf_a-02,E1/1/2,leaf
27,11250,connected,,,compute_xpu_a-005,scale_out-so2,server,scale_out_leaf_a-02,E1/2/1,leaf
27,11251,connected,,,compute_xpu_a-005,scale_out-so3,server,scale_out_leaf_a-02,E1/2/2,leaf
27,11252,connected,,,compute_xpu_a-005,scale_out-so4,server,scale_out_leaf_a-02,E1/3/1,leaf
27,11253,connected,,,compute_xpu_a-005,scale_out-so5,server,scale_out_leaf_a-02,E1/3/2,leaf
27,11254,connected,,,compute_xpu_a-005,scale_out-so6,server,scale_out_leaf_a-02,E1/4/1,leaf
27,11255,connected,,,compute_xpu_a-005,scale_out-so7,server,scale_out_leaf_a-02,E1/4/2,leaf
