plan_id,cable_id,status,type,zone,a_device,a_interface,a_role,b_device,b_interface,b_role
15,3070,connected,,,compute-001,be0-port0,server,be-rail-leaf-01,E1/1/1,leaf
15,3071,connected,,,compute-001,be1-port0,server,be-rail-leaf-01,E1/1/2,leaf
15,3072,connected,,,compute-001,be2-port0,server,be-rail-leaf-02,E1/1/1,leaf
15,3073,connected,,,compute-001,be3-port0,server,be-rail-leaf-02,E1/1/2,leaf
15,3074,connected,,,compute-001,be4-port0,server,be-rail-leaf-03,E1/1/1,leaf
15,3075,connected,,,compute-001,be5-port0,server,be-rail-leaf-03,E1/1/2,leaf
15,3076,connected,,,compute-001,be6-port0,server,be-rail-leaf-04,E1/1/1,leaf
15,3077,connected,,,compute-001,be7-port0,server,be-rail-leaf-04,E1/1/2,leaf
15,3078,connected,,,compute-001,fe-p0,server,fe-leaf-01,E1/1/1,leaf
15,3079,connected,,,compute-001,fe-p1,server,fe-leaf-02,E1/1/1,leaf
15,3080,connected,,,compute-002,be0-port0,server,be-rail-leaf-01,E1/2/1,leaf
15,3081,connected,,,compute-002,be1-port0,server,be-rail-leaf-01,E1/2/2,leaf
15,3082,connected,,,compute-002,be2-port0,server,be-rail-leaf-02,E1/2/1,leaf
15,3083,connected,,,compute-002,be3-port0,server,be-rail-leaf-02,E1/2/2,leaf
15,3084,connected,,,compute-002,be4-port0,server,be-rail-leaf-03,E1/2/1,leaf
15,3085,connected,,,compute-002,be5-port0,server,be-rail-leaf-03,E1/2/2,leaf
15,3086,connected,,,compute-002,be6-port0,server,be-rail-leaf-04,E1/2/1,leaf
15,3087,connected,,,compute-002,be7-port0,server,be-rail-leaf-04,E1/2/2,leaf
15,3088,connected,,,compute-002,fe-p0,server,fe-leaf-01,E1/1/2,leaf
15,3089,connected,,,compute-002,fe-p1,server,fe-leaf-02,E1/1/2,leaf
15,3090,connected,,,compute-003,be0-port0,server,be-rail-leaf-01,E1/3/1,leaf
15,3091,connected,,,compute-003,be1-port0,server,be-rail-leaf-01,E1/3/2,leaf
15,3092,connected,,,compute-003,be2-port0,server,be-rail-leaf-02,E1/3/1,leaf
15,3093,connected,,,compute-003,be3-port0,server,be-rail-leaf-02,E1/3/2,leaf
15,3094,connected,,,compute-003,be4-port0,server,be-rail-leaf-03,E1/3/1,leaf
15,3095,connected,,,compute-003,be5-port0,server,be-rail-leaf-03,E1/3/2,leaf
15,3096,connected,,,compute-003,be6-port0,server,be-rail-leaf-04,E1/3/1,leaf
15,3097,connected,,,compute-003,be7-port0,server,be-rail-leaf-04,E1/3/2,leaf
15,3098,connected,,,compute-003,fe-p0,server,fe-leaf-01,E1/1/3,leaf
15,3099,connected,,,compute-003,fe-p1,server,fe-leaf-02,E1/1/3,leaf
15,3100,connected,,,compute-004,be0-port0,server,be-rail-leaf-01,E1/4/1,leaf
15,3101,connected,,,compute-004,be1-port0,server,be-rail-leaf-01,E1/4/2,leaf
15,3102,connected,,,compute-004,be2-port0,server,be-rail-leaf-02,E1/4/1,leaf
15,3103,connected,,,compute-004,be3-port0,server,be-rail-leaf-02,E1/4/2,leaf
