plan_id,cable_id,status,type,zone,a_device,a_interface,a_role,b_device,b_interface,b_role
18,5054,connected,,,compute-001,be0-port0,server,be-leaf-01,E1/1/1,leaf
18,5055,connected,,,compute-001,be1-port0,server,be-leaf-02,E1/1/1,leaf
18,5056,connected,,,compute-001,be2-port0,server,be-leaf-03,E1/1/1,leaf
18,5057,connected,,,compute-001,be3-port0,server,be-leaf-04,E1/1/1,leaf
18,5058,connected,,,compute-001,be4-port0,server,be-leaf-05,E1/1/1,leaf
18,5059,connected,,,compute-001,be5-port0,server,be-leaf-06,E1/1/1,leaf
18,5060,connected,,,compute-001,be6-port0,server,be-leaf-07,E1/1/1,leaf
18,5061,connected,,,compute-001,be7-port0,server,be-leaf-08,E1/1/1,leaf
18,5062,connected,,,compute-001,fe-p0,server,fe-leaf-01,E1/1/1,leaf
18,5063,connected,,,compute-001,fe-p1,server,fe-leaf-02,E1/1/1,leaf
18,5064,connected,,,compute-002,be0-port0,server,be-leaf-01,E1/1/2,leaf
18,5065,connected,,,compute-002,be1-port0,server,be-leaf-02,E1/1/2,leaf
18,5066,connected,,,compute-002,be2-port0,server,be-leaf-03,E1/1/2,leaf
18,5067,connected,,,compute-002,be3-port0,server,be-leaf-04,E1/1/2,leaf
18,5068,connected,,,compute-002,be4-port0,server,be-leaf-05,E1/1/2,leaf
18,5069,connected,,,compute-002,be5-port0,server,be-leaf-06,E1/1/2,leaf
18,5070,connected,,,compute-002,be6-port0,server,be-leaf-07,E1/1/2,leaf
18,5071,connected,,,compute-002,be7-port0,server,be-leaf-08,E1/1/2,leaf
18,5072,connected,,,compute-002,fe-p0,server,fe-leaf-01,E1/1/2,leaf
18,5073,connected,,,compute-002,fe-p1,server,fe-leaf-02,E1/1/2,leaf
18,5074,connected,,,compute-003,be0-port0,server,be-leaf-01,E1/2/1,leaf
18,5075,connected,,,compute-003,be1-port0,server,be-leaf-02,E1/2/1,leaf
18,5076,connected,,,compute-003,be2-port0,server,be-leaf-03,E1/2/1,leaf
18,5077,connected,,,compute-003,be3-port0,server,be-leaf-04,E1/2/1,leaf
18,5078,connected,,,compute-003,be4-port0,server,be-leaf-05,E1/2/1,leaf
18,5079,connected,,,compute-003,be5-port0,server,be-leaf-06,E1/2/1,leaf
18,5080,connected,,,compute-003,be6-port0,server,be-leaf-07,E1/2/1,leaf
18,5081,connected,,,compute-003,be7-port0,server,be-leaf-08,E1/2/1,leaf
18,5082,connected,,,compute-003,fe-p0,server,fe-leaf-01,E1/1/3,leaf
18,5083,connected,,,compute-003,fe-p1,server,fe-leaf-02,E1/1/3,leaf
18,5084,connected,,,compute-004,be0-port0,server,be-leaf-01,E1/2/2,leaf
18,5085,connected,,,compute-004,be1-port0,server,be-leaf-02,E1/2/2,leaf
18,5086,connected,,,compute-004,be2-port0,server,be-leaf-03,E1/2/2,leaf
18,5087,connected,,,compute-004,be3-port0,server,be-leaf-04,E1/2/2,leaf
18,5088,connected,,,compute-004,be4-port0,server,be-leaf-05,E1/2/2,leaf
18,5089,connected,,,compute-004,be5-port0,server,be-leaf-06,E1/2/2,leaf
18,5090,connected,,,compute-004,be6-port0,server,be-leaf-07,E1/2/2,leaf
18,5091,connected,,,compute-004,be7-port0,server,be-leaf-08,E1/2/2,leaf
18,5092,connected,,,compute-004,fe-p0,server,fe-leaf-01,E1/1/4,leaf
18,5093,connected,,,compute-004,fe-p1,server,fe-leaf-02,E1/1/4,leaf
18,5094,connected,,,compute-005,be0-port0,server,be-leaf-01,E1/3/1,leaf
18,5095,connected,,,compute-005,be1-port0,server,be-leaf-02,E1/3/1,leaf
18,5096,connected,,,compute-005,be2-port0,server,be-leaf-03,E1/3/1,leaf
18,5097,connected,,,compute-005,be3-port0,server,be-leaf-04,E1/3/1,leaf
18,5098,connected,,,compute-005,be4-port0,server,be-leaf-05,E1/3/1,leaf
18,5099,connected,,,compute-005,be5-port0,server,be-leaf-06,E1/3/1,leaf
18,5100,connected,,,compute-005,be6-port0,server,be-leaf-07,E1/3/1,leaf
18,5101,connected,,,compute-005,be7-port0,server,be-leaf-08,E1/3/1,leaf
18,5102,connected,,,compute-005,fe-p0,server,fe-leaf-01,E1/3/1,leaf
18,5103,connected,,,compute-005,fe-p1,server,fe-leaf-02,E1/3/1,leaf
18,5104,connected,,,compute-006,be0-port0,server,be-leaf-01,E1/3/2,leaf
