plan_id,cable_id,status,type,zone,a_device,a_interface,a_role,b_device,b_interface,b_role
10,1086,connected,,,compute_xpu-001,inb_mgmt-mgmt0,server,inb_mgmt_leaf-01,E1/1,leaf
10,1087,connected,,,compute_xpu-001,bmc-bmc0,server,oob_leaf-01,E1/1,leaf
10,1088,connected,,,compute_xpu-001,scale_out-so0,server,soc_storage_scale_out_leaf-01,E1/1/1,leaf
10,1089,connected,,,compute_xpu-001,scale_out-so1,server,soc_storage_scale_out_leaf-01,E1/1/2,leaf
10,1090,connected,,,compute_xpu-001,scale_out-so2,server,soc_storage_scale_out_leaf-01,E1/2/1,leaf
10,1091,connected,,,compute_xpu-001,scale_out-so3,server,soc_storage_scale_out_leaf-01,E1/2/2,leaf
10,1092,connected,,,compute_xpu-001,scale_out-so4,server,soc_storage_scale_out_leaf-02,E1/1/1,leaf
10,1093,connected,,,compute_xpu-001,scale_out-so5,server,soc_storage_scale_out_leaf-02,E1/1/2,leaf
10,1094,connected,,,compute_xpu-001,scale_out-so6,server,soc_storage_scale_out_leaf-02,E1/2/1,leaf
10,1095,connected,,,compute_xpu-001,scale_out-so7,server,soc_storage_scale_out_leaf-02,E1/2/2,leaf
10,1096,connected,,,compute_xpu-001,soc_storage-ss0,server,soc_storage_scale_out_leaf-01,E1/27/1,leaf
10,1097,connected,,,compute_xpu-001,soc_storage-ss1,server,soc_storage_scale_out_leaf-01,E1/27/2,leaf
10,1098,connected,,,compute_xpu-002,inb_mgmt-mgmt0,server,inb_mgmt_leaf-01,E1/2,leaf
10,1099,connected,,,compute_xpu-002,bmc-bmc0,server,oob_leaf-01,E1/2,leaf
10,1100,connected,,,compute_xpu-002,scale_out-so0,server,soc_storage_scale_out_leaf-01,E1/3/1,leaf
10,1101,connected,,,compute_xpu-002,scale_out-so1,server,soc_storage_scale_out_leaf-01,E1/3/2,leaf
10,1102,connected,,,compute_xpu-002,scale_out-so2,server,soc_storage_scale_out_leaf-01,E1/4/1,leaf
10,1103,connected,,,compute_xpu-002,scale_out-so3,server,soc_storage_scale_out_leaf-01,E1/4/2,leaf
10,1104,connected,,,compute_xpu-002,scale_out-so4,server,soc_storage_scale_out_leaf-02,E1/3/1,leaf
10,1105,connected,,,compute_xpu-002,scale_out-so5,server,soc_storage_scale_out_leaf-02,E1/3/2,leaf
10,1106,connected,,,compute_xpu-002,scale_out-so6,server,soc_storage_scale_out_leaf-02,E1/4/1,leaf
10,1107,connected,,,compute_xpu-002,scale_out-so7,server,soc_storage_scale_out_leaf-02,E1/4/2,leaf
10,1108,connected,,,compute_xpu-002,soc_storage-ss0,server,soc_storage_scale_out_leaf-01,E1/27/3,leaf
10,1109,connected,,,compute_xpu-002,soc_storage-ss1,server,soc_storage_scale_out_leaf-01,E1/27/4,leaf
10,1110,connected,,,compute_xpu-003,inb_mgmt-mgmt0,server,inb_mgmt_leaf-01,E1/3,leaf
