plan_id,cable_id,status,type,zone,a_device,a_interface,a_role,b_device,b_interface,b_role
156,96900,connected,,,compute_xpu-001,inb_mgmt-mgmt0,server,inb_mgmt_leaf-01,E1/1,leaf
156,96901,connected,,,compute_xpu-001,bmc-bmc0,server,oob_leaf-01,E1/1,leaf
156,96902,connected,,,compute_xpu-001,scale_out-so0,server,scale_out_leaf-01,E1/1/1,leaf
156,96903,connected,,,compute_xpu-001,scale_out-so1,server,scale_out_leaf-01,E1/1/2,leaf
156,96904,connected,,,compute_xpu-001,scale_out-so2,server,scale_out_leaf-01,E1/2/1,leaf
156,96905,connected,,,compute_xpu-001,scale_out-so3,server,scale_out_leaf-01,E1/2/2,leaf
156,96906,connected,,,compute_xpu-001,scale_out-so4,server,scale_out_leaf-02,E1/1/1,leaf
156,96907,connected,,,compute_xpu-001,scale_out-so5,server,scale_out_leaf-02,E1/1/2,leaf
156,96908,connected,,,compute_xpu-001,scale_out-so6,server,scale_out_leaf-02,E1/2/1,leaf
156,96909,connected,,,compute_xpu-001,scale_out-so7,server,scale_out_leaf-02,E1/2/2,leaf
156,96910,connected,,,compute_xpu-001,soc_storage-ss0,server,soc_storage_leaf-01,E1/27/1,leaf
156,96911,connected,,,compute_xpu-001,soc_storage-ss1,server,soc_storage_leaf-02,E1/27/1,leaf
156,96912,connected,,,compute_xpu-002,inb_mgmt-mgmt0,server,inb_mgmt_leaf-01,E1/2,leaf
156,96913,connected,,,compute_xpu-002,bmc-bmc0,server,oob_leaf-02,E1/1,leaf
156,96914,connected,,,compute_xpu-002,scale_out-so0,server,scale_out_leaf-01,E1/3/1,leaf
156,96915,connected,,,compute_xpu-002,scale_out-so1,server,scale_out_leaf-01,E1/3/2,leaf
156,96916,connected,,,compute_xpu-002,scale_out-so2,server,scale_out_leaf-01,E1/4/1,leaf
156,96917,connected,,,compute_xpu-002,scale_out-so3,server,scale_out_leaf-01,E1/4/2,leaf
156,96918,connected,,,compute_xpu-002,scale_out-so4,server,scale_out_leaf-02,E1/3/1,leaf
156,96919,connected,,,compute_xpu-002,scale_out-so5,server,scale_out_leaf-02,E1/3/2,leaf
156,96920,connected,,,compute_xpu-002,scale_out-so6,server,scale_out_leaf-02,E1/4/1,leaf
156,96921,connected,,,compute_xpu-002,scale_out-so7,server,scale_out_leaf-02,E1/4/2,leaf
156,96922,connected,,,compute_xpu-002,soc_storage-ss0,server,soc_storage_leaf-01,E1/27/2,leaf
156,96923,connected,,,compute_xpu-002,soc_storage-ss1,server,soc_storage_leaf-02,E1/27/2,leaf
156,96924,connected,,,compute_xpu-003,inb_mgmt-mgmt0,server,inb_mgmt_leaf-01,E1/3,leaf
156,96925,connected,,,compute_xpu-003,bmc-bmc0,server,oob_leaf-01,E1/2,leaf
156,96926,connected,,,compute_xpu-003,scale_out-so0,server,scale_out_leaf-01,E1/5/1,leaf
156,96927,connected,,,compute_xpu-003,scale_out-so1,server,scale_out_leaf-01,E1/5/2,leaf
156,96928,connected,,,compute_xpu-003,scale_out-so2,server,scale_out_leaf-01,E1/6/1,leaf
156,96929,connected,,,compute_xpu-003,scale_out-so3,server,scale_out_leaf-01,E1/6/2,leaf
156,96930,connected,,,compute_xpu-003,scale_out-so4,server,scale_out_leaf-02,E1/5/1,leaf
156,96931,connected,,,compute_xpu-003,scale_out-so5,server,scale_out_leaf-02,E1/5/2,leaf
156,96932,connected,,,compute_xpu-003,scale_out-so6,server,scale_out_leaf-02,E1/6/1,leaf
156,96933,connected,,,compute_xpu-003,scale_out-so7,server,scale_out_leaf-02,E1/6/2,leaf
156,96934,connected,,,compute_xpu-003,soc_storage-ss0,server,soc_storage_leaf-01,E1/27/3,leaf
156,96935,connected,,,compute_xpu-003,soc_storage-ss1,server,soc_storage_leaf-02,E1/27/3,leaf
156,96936,connected,,,compute_xpu-004,inb_mgmt-mgmt0,server,inb_mgmt_leaf-01,E1/4,leaf
156,96937,connected,,,compute_xpu-004,bmc-bmc0,server,oob_leaf-02,E1/2,leaf
156,96938,connected,,,compute_xpu-004,scale_out-so0,server,scale_out_leaf-01,E1/7/1,leaf
156,96939,connected,,,compute_xpu-004,scale_out-so1,server,scale_out_leaf-01,E1/7/2,leaf
156,96940,connected,,,compute_xpu-004,scale_out-so2,server,scale_out_leaf-01,E1/8/1,leaf
156,96941,connected,,,compute_xpu-004,scale_out-so3,server,scale_out_leaf-01,E1/8/2,leaf
156,96942,connected,,,compute_xpu-004,scale_out-so4,server,scale_out_leaf-02,E1/7/1,leaf
156,96943,connected,,,compute_xpu-004,scale_out-so5,server,scale_out_leaf-02,E1/7/2,leaf
156,96944,connected,,,compute_xpu-004,scale_out-so6,server,scale_out_leaf-02,E1/8/1,leaf
156,96945,connected,,,compute_xpu-004,scale_out-so7,server,scale_out_leaf-02,E1/8/2,leaf
156,96946,connected,,,compute_xpu-004,soc_storage-ss0,server,soc_storage_leaf-01,E1/27/4,leaf
156,96947,connected,,,compute_xpu-004,soc_storage-ss1,server,soc_storage_leaf-02,E1/27/4,leaf
156,96948,connected,,,compute_xpu-005,inb_mgmt-mgmt0,server,inb_mgmt_leaf-01,E1/5,leaf
156,96949,connected,,,compute_xpu-005,bmc-bmc0,server,oob_leaf-01,E1/3,leaf
156,96950,connected,,,compute_xpu-005,scale_out-so0,server,scale_out_leaf-01,E1/9/1,leaf
156,96951,connected,,,compute_xpu-005,scale_out-so1,server,scale_out_leaf-01,E1/9/2,leaf
156,96952,connected,,,compute_xpu-005,scale_out-so2,server,scale_out_leaf-01,E1/10/1,leaf
156,96953,connected,,,compute_xpu-005,scale_out-so3,server,scale_out_leaf-01,E1/10/2,leaf
156,96954,connected,,,compute_xpu-005,scale_out-so4,server,scale_out_leaf-02,E1/9/1,leaf
156,96955,connected,,,compute_xpu-005,scale_out-so5,server,scale_out_leaf-02,E1/9/2,leaf
156,96956,connected,,,compute_xpu-005,scale_out-so6,server,scale_out_leaf-02,E1/10/1,leaf
156,96957,connected,,,compute_xpu-005,scale_out-so7,server,scale_out_leaf-02,E1/10/2,leaf
156,96958,connected,,,compute_xpu-005,soc_storage-ss0,server,soc_storage_leaf-01,E1/29/1,leaf
156,96959,connected,,,compute_xpu-005,soc_storage-ss1,server,soc_storage_leaf-02,E1/29/1,leaf
156,96960,connected,,,compute_xpu-006,inb_mgmt-mgmt0,server,inb_mgmt_leaf-01,E1/6,leaf
156,96961,connected,,,compute_xpu-006,bmc-bmc0,server,oob_leaf-02,E1/3,leaf
156,96962,connected,,,compute_xpu-006,scale_out-so0,server,scale_out_leaf-01,E1/11/1,leaf
156,96963,connected,,,compute_xpu-006,scale_out-so1,server,scale_out_leaf-01,E1/11/2,leaf
156,96964,connected,,,compute_xpu-006,scale_out-so2,server,scale_out_leaf-01,E1/12/1,leaf
156,96965,connected,,,compute_xpu-006,scale_out-so3,server,scale_out_leaf-01,E1/12/2,leaf
156,96966,connected,,,compute_xpu-006,scale_out-so4,server,scale_out_leaf-02,E1/11/1,leaf
156,96967,connected,,,compute_xpu-006,scale_out-so5,server,scale_out_leaf-02,E1/11/2,leaf
156,96968,connected,,,compute_xpu-006,scale_out-so6,server,scale_out_leaf-02,E1/12/1,leaf
156,96969,connected,,,compute_xpu-006,scale_out-so7,server,scale_out_leaf-02,E1/12/2,leaf
156,96970,connected,,,compute_xpu-006,soc_storage-ss0,server,soc_storage_leaf-01,E1/29/2,leaf
156,96971,connected,,,compute_xpu-006,soc_storage-ss1,server,soc_storage_leaf-02,E1/29/2,leaf
156,96972,connected,,,compute_xpu-007,inb_mgmt-mgmt0,server,inb_mgmt_leaf-01,E1/7,leaf
156,96973,connected,,,compute_xpu-007,bmc-bmc0,server,oob_leaf-01,E1/4,leaf
156,96974,connected,,,compute_xpu-007,scale_out-so0,server,scale_out_leaf-01,E1/13/1,leaf
156,96975,connected,,,compute_xpu-007,scale_out-so1,server,scale_out_leaf-01,E1/13/2,leaf
156,96976,connected,,,compute_xpu-007,scale_out-so2,server,scale_out_leaf-01,E1/14/1,leaf
156,96977,connected,,,compute_xpu-007,scale_out-so3,server,scale_out_leaf-01,E1/14/2,leaf
156,96978,connected,,,compute_xpu-007,scale_out-so4,server,scale_out_leaf-02,E1/13/1,leaf
156,96979,connected,,,compute_xpu-007,scale_out-so5,server,scale_out_leaf-02,E1/13/2,leaf
156,96980,connected,,,compute_xpu-007,scale_out-so6,server,scale_out_leaf-02,E1/14/1,leaf
156,96981,connected,,,compute_xpu-007,scale_out-so7,server,scale_out_leaf-02,E1/14/2,leaf
156,96982,connected,,,compute_xpu-007,soc_storage-ss0,server,soc_storage_leaf-01,E1/29/3,leaf
156,96983,connected,,,compute_xpu-007,soc_storage-ss1,server,soc_storage_leaf-02,E1/29/3,leaf
156,96984,connected,,,compute_xpu-008,inb_mgmt-mgmt0,server,inb_mgmt_leaf-01,E1/8,leaf
156,96985,connected,,,compute_xpu-008,bmc-bmc0,server,oob_leaf-02,E1/4,leaf
156,96986,connected,,,compute_xpu-008,scale_out-so0,server,scale_out_leaf-01,E1/15/1,leaf
156,96987,connected,,,compute_xpu-008,scale_out-so1,server,scale_out_leaf-01,E1/15/2,leaf
